﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:01KsbekyuQQXpVnxIfNRaC","One Foot","Airways","One Foot","1","1","188834","spotify:user:iabouhashish","2019-02-10T19:38:25Z"
"spotify:track:1w4Mw0vIbVaRnn5ydcfpJR","Blindmaker","FIL BO RIVA","Blindmaker","1","1","175345","spotify:user:iabouhashish","2019-02-10T19:39:02Z"
"spotify:track:7EbsWLCPQ9pjpQf6hYmKYi","Hostage","Griffin Oskar","Hostage","1","1","198000","spotify:user:iabouhashish","2019-02-10T19:39:31Z"
"spotify:track:3VjQlzJJDOFotlIBnKUgG2","Jesse James","Kai Straw","GUN","1","7","213260","spotify:user:iabouhashish","2019-02-10T19:39:55Z"
"spotify:track:40ItEVhlrV7pFMpbfZQnVE","Tag Team","Lawrence Taylor","Tag Team","1","1","204356","spotify:user:iabouhashish","2019-02-10T19:40:16Z"
"spotify:track:4E0SwMbCpOG8KvPQzsw1o8","Days of Thunder","The Midnight","Days of Thunder","1","4","324018","spotify:user:iabouhashish","2019-02-10T19:40:40Z"
"spotify:track:7DqjqECeBZdD1QPUJUjTTA","Love Can Only Heal","Myles Kennedy","Year of the Tiger","1","10","332765","spotify:user:iabouhashish","2019-02-10T19:41:08Z"
"spotify:track:3DCAgpmuIXdyNuludNemso","Sex","NoMBe","Sex","1","1","222426","spotify:user:iabouhashish","2019-02-10T19:41:16Z"
"spotify:track:2YQJCYnf4Ab1wS5bA89nHE","Holy War","Rainbow Kitten Surprise","Holy War","1","1","174386","spotify:user:iabouhashish","2019-02-10T19:41:26Z"
"spotify:track:7trx783SvnHhKkmgSSTIFJ","First Class","Rainbow Kitten Surprise","Seven + Mary","1","3","343485","spotify:user:iabouhashish","2019-02-10T19:41:26Z"
"spotify:track:35mL8keNDi2VLHrFXZCgJR","Shameful Company","Rainbow Kitten Surprise","Seven + Mary","1","4","221545","spotify:user:iabouhashish","2019-02-10T19:41:26Z"
"spotify:track:6VW0KDtZA6AeDoOMIxMpNi","My Mistakes Were Made for You","Noirre","Nite Tales","1","5","226261","spotify:user:iabouhashish","2019-02-10T19:41:38Z"
"spotify:track:09XAI6yCEIf3MrkU3qvAsj","True Love","Olympique","Chron","1","2","203640","spotify:user:iabouhashish","2019-02-10T19:41:42Z"
"spotify:track:2l8LktQUyVtdvN640GzonX","Aquarius Apocalyptic","Stop Light Observations","TOOGOODOO","1","5","313161","spotify:user:iabouhashish","2019-02-10T19:42:04Z"
"spotify:track:6lAs1awD2qKE0Oi2311aXp","Persian Eyes","Stuart Mavis","Stuart Mavis","1","2","217920","spotify:user:iabouhashish","2019-02-10T19:42:10Z"
"spotify:track:3hDJcxyHg2baOAxS2z1rU7","Outside","TENDER","EP III","1","5","250493","spotify:user:iabouhashish","2019-02-10T19:42:25Z"
"spotify:track:2M0oisCimjobIDx7328VnP","Hangup Blues","Wake Child","Hangup Blues","1","1","301932","spotify:user:iabouhashish","2019-02-10T19:42:33Z"
"spotify:track:1LoQR2zOg0tRRYq9M3kcQt","Monster vs. Angel","WDL, Mawe","No Wings Airline","1","2","205896","spotify:user:iabouhashish","2019-02-10T19:42:43Z"
"spotify:track:2sDUs5X0gUndCqJyrxk9tt","Double Dark","Wildhood","Vert","1","2","290602","spotify:user:iabouhashish","2019-02-10T19:42:52Z"
"spotify:track:2nObmeEAjWMIAa8NyArtek","Good Love","Zola Blood","Good Love","1","1","225613","spotify:user:iabouhashish","2019-02-10T19:42:57Z"
