﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:37srX95yEWagMPkspM1xr1","Summer Rain","Le Parody, Gizmo Varillas","Summer Rain","1","1","190111","spotify:user:iabouhashish","2019-04-02T15:32:03Z"
"spotify:track:1CGfdiuxAVIyUpOYDXcUys","Do Not Let Your Spirit Wane","Gang of Youths","Go Farther In Lightness","1","6","453466","spotify:user:iabouhashish","2019-04-02T15:58:08Z"
"spotify:track:6mEP1cofyVXsJ9oDAeaRIt","Eternally 12","Melanie Faye, Mac DeMarco","Eternally 12","1","1","241603","spotify:user:iabouhashish","2019-04-02T16:12:36Z"
"spotify:track:4TAeOsMYQ3IecAuljAF3Ft","What You Need","BAYNK, NÏKA","What You Need","1","1","218086","spotify:user:iabouhashish","2019-04-02T16:34:44Z"
"spotify:track:6o5sUTvE52kuzEhWDTq2hs","Land Lines","BOII","Land Lines","1","1","227333","spotify:user:iabouhashish","2019-04-02T18:27:11Z"
"spotify:track:5IwkralT3gnN9hL900X0Fr","Can't Buy Happiness","Tash Sultana","Can't Buy Happiness","1","1","191759","spotify:user:iabouhashish","2019-04-04T07:21:36Z"
"spotify:track:04BGOF5G8ztSjRkhhM0SmE","Permanent Way","Charlie Cunningham","Permanent Way","1","1","252080","spotify:user:iabouhashish","2019-04-04T13:26:05Z"
"spotify:track:6kNLASo01nyX5DVB4UGYFK","Half-Saved","Luca Fogale","Half-Saved","1","1","202718","spotify:user:iabouhashish","2019-04-04T15:38:26Z"
"spotify:track:34JY0X6fqknNrmPmXJH7Ki","Phobia Orgasma","Oliver Riot","Neurosis","1","4","256399","spotify:user:iabouhashish","2019-04-07T18:26:11Z"
"spotify:track:5nNRGtgS9d1vcxFCZuAA8r","Red Lines","SOHN","Red Lines","1","1","236630","spotify:user:iabouhashish","2019-04-07T18:26:11Z"
"spotify:track:0lI4NU85a2bxlPVfzjOuTc","Song For You","Marbert Rocel","Small Hours","1","4","383840","spotify:user:iabouhashish","2019-04-07T18:31:39Z"
"spotify:track:5XpUxkpO6q0wBENfghX7Y8","Hans","Febueder","Hans","1","1","193436","spotify:user:iabouhashish","2019-04-08T15:21:36Z"
"spotify:track:15sBnxLkcYk1vpgFvfBK4o","Missed Call","Flaws","Missed Call","1","1","184556","spotify:user:iabouhashish","2019-04-08T15:45:37Z"
"spotify:track:1SreIFDe15GQC4BrdZW2Hh","Crashing (ft. Bahari) – Stripped","ILLENIUM, Bahari","Crashing (Remixes)","1","4","226250","spotify:user:iabouhashish","2019-04-13T19:14:27Z"
