﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3tyFSYp3jmRlFNRwLxAKbI","Haaappiiiiiiiiiiiiinneeeeezz","Bayuk","Rage Tapes","1","2","249650","spotify:user:iabouhashish","2019-02-10T20:11:58Z"
"spotify:track:62dGKiUBhyJgae7kbfDxB7","Back Of My Heart","The Beaches","Late Show","1","1","223386","spotify:user:iabouhashish","2019-02-10T20:12:04Z"
"spotify:track:6T0Nh56rt7qHHaG6tAcGiz","T-Shirt","The Beaches","Late Show","1","5","186373","spotify:user:iabouhashish","2019-02-10T20:12:04Z"
"spotify:track:7FrMBQ7QNjkBuwRprOhBGN","Bully","Black Pistol Fire","Deadbeat Graffiti","1","2","226586","spotify:user:iabouhashish","2019-02-10T20:12:28Z"
"spotify:track:7KYKusUuoT8XvQCLMwIt76","Cold Street","The Cegus","The Cegus, Vol. 1","1","3","264078","spotify:user:iabouhashish","2019-02-10T20:12:37Z"
"spotify:track:2NIciKnB6Gm7yAlt5xKMZq","Maria-Luiza","Champyons","Cha Cha Cha","1","7","144715","spotify:user:iabouhashish","2019-02-10T20:12:44Z"
"spotify:track:3lQSzRo5BkodChgpBOomvv","Miracle","CHVRCHES","Love Is Dead","1","7","188251","spotify:user:iabouhashish","2019-02-10T20:12:50Z"
"spotify:track:2MjQGWAFsFRTZtKA6THCaM","Used to the Darkness","Des Rocs","Used to the Darkness","1","1","256343","spotify:user:iabouhashish","2019-02-10T20:13:00Z"
"spotify:track:3Rw9J03nW964TruD23gfaS","When The Curtain Falls","Greta Van Fleet","When The Curtain Falls","1","1","221893","spotify:user:iabouhashish","2019-02-10T20:13:20Z"
"spotify:track:1MweULEzWWg5WTlBWMZosS","Heart Of A Dog","The Kills","Ash & Ice","1","2","226527","spotify:user:iabouhashish","2019-02-10T20:13:30Z"
"spotify:track:5iJZgkI8GDSOSNosJ6fJEU","Dancing Minds","LVNG","Dancing Minds","1","1","228091","spotify:user:iabouhashish","2019-02-10T20:13:45Z"
"spotify:track:1MwZcSz1ymChAtzHUMFU4f","Glow","The Lytics","Glow","1","1","211087","spotify:user:iabouhashish","2019-02-10T20:13:49Z"
"spotify:track:5DG2SWW7kPgYqOY0Ex5Ssj","Brother","Matt Corby","Into The Flame","1","1","253521","spotify:user:iabouhashish","2019-02-10T20:13:56Z"
"spotify:track:3Wz5JAW46aCFe1BwZIePu6","Hold On","OLSSON, Mapei","Millions","1","1","258839","spotify:user:iabouhashish","2019-02-10T20:14:06Z"
"spotify:track:4YsnD5GTI8nVBUXkmlqur4","A Crime To Remember","Pop Evil","Pop Evil","1","7","202761","spotify:user:iabouhashish","2019-02-10T20:14:17Z"
"spotify:track:5ofepjqwLDnbFDoQQPtz6y","Drive","Ripe & Ruin","The Eye of the World (Track by Track)","1","10","338997","spotify:user:iabouhashish","2019-02-10T20:14:24Z"
"spotify:track:39TwImDmpFK0AJO6TRyO1z","Can't Look Away","Seafret","Can't Look Away","1","1","214691","spotify:user:iabouhashish","2019-02-10T20:14:58Z"
"spotify:track:0xxm1WskKZSCvbkGjkSMr2","Open Your Eyes","STRFKR","Being No One, Going Nowhere","1","5","232946","spotify:user:iabouhashish","2019-02-10T20:15:18Z"
