﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:0beQOSJ5aUkQky6XYlC8m6","Closer","Astrid S","Closer","1","1","183040","spotify:user:iabouhashish","2019-08-01T09:59:57Z"
"spotify:track:1GZH9Sv6zCIse2GKihRHKy","Summer Girl","HAIM","Summer Girl","1","1","205026","spotify:user:iabouhashish","2019-08-04T21:58:06Z"
"spotify:track:4HjyLpRWsZgnfPMJuwcJ4O","Emily","Delacey","Emily","1","1","175277","spotify:user:iabouhashish","2019-08-06T19:35:07Z"
"spotify:track:0zTSmiDzVkIPUPjsHcUWpe","Disfruto","Carla Morrison","Déjenme Llorar","1","10","244973","spotify:user:iabouhashish","2019-08-06T19:50:49Z"
"spotify:track:1LbQs9rh40ILgZxDIzcJL1","Now You're Gone (feat. Zara Larsson) - Acoustic","Tom Walker, Zara Larsson","Now You're Gone (feat. Zara Larsson) [Acoustic]","1","1","181726","spotify:user:iabouhashish","2019-08-06T19:56:35Z"
"spotify:track:2AXnVe4VcEli1z8B9P1Elk","We","Bon Iver","i,i","1","3","142880","spotify:user:iabouhashish","2019-08-09T10:29:54Z"
"spotify:track:72t13CoJeWvrcD4LhCQf4N","TATTOOED ON MY HEART","Bishop Briggs","TATTOOED ON MY HEART","1","1","201360","spotify:user:iabouhashish","2019-08-08T14:18:32Z"
"spotify:track:1j9fAPYADoZSdjezrECDRK","Deviate","Tora","Deviate","1","1","209411","spotify:user:iabouhashish","2019-08-08T14:21:52Z"
"spotify:track:4SFsCt9PWNo9ebqn0GdMTJ","Night Drive","Laura Misch","Lonely City","1","4","256551","spotify:user:iabouhashish","2019-08-08T14:30:32Z"
"spotify:track:0Lgp3Wpw1uBhlBi2ZDdAi8","Message You At Midnight","Nick Murphy","Run Fast Sleep Naked","1","11","306622","spotify:user:iabouhashish","2019-08-08T14:56:35Z"
"spotify:track:1ff60tDWdcdVN6PtKQXWny","Naeem","Bon Iver","i,i","1","7","262266","spotify:user:iabouhashish","2019-08-09T08:43:09Z"
"spotify:track:3LeBTXhHQG83R0yI6izZTV","Mother Forgot","Tora","Can't Buy the Mood","1","2","188903","spotify:user:iabouhashish","2019-08-10T05:31:28Z"
"spotify:track:3OwDvOG54TJaAy75VGaqZG","Her Too","Matilda","Her Too","1","1","182113","spotify:user:iabouhashish","2019-08-10T05:35:51Z"
"spotify:track:5I4GgyibGhPJQPjZ2rVlzk","Hometown","Frame Culture, AURORA","Hometown","1","1","180000","spotify:user:iabouhashish","2019-08-10T06:45:22Z"
"spotify:track:26lF5mVfDEctMHJFxbvPtc","I Fold You","Elder Island","I Fold You","1","1","282441","spotify:user:iabouhashish","2019-08-12T06:05:33Z"
"spotify:track:5pAbCxt9e3f81lOmjIXwzd","Be Honest (feat. Burna Boy)","Jorja Smith, Burna Boy","Be Honest (feat. Burna Boy)","1","1","207030","spotify:user:iabouhashish","2019-08-17T01:25:41Z"
"spotify:track:0u834tjHl0zB9xdPO5KrQX","Perfect Blue","Elle Valenci","Perfect Blue","1","1","206000","spotify:user:iabouhashish","2019-08-19T21:08:16Z"
"spotify:track:6G97G1f4GVPa21hI1tWYju","House Of The Rising Sun (feat. Tuka) - Tuka Version","alt-J, Tuka","Reduxer","1","3","293826","spotify:user:iabouhashish","2019-08-20T11:17:27Z"
"spotify:track:2q4qJem4lQpb6nxuclFuXy","Ballad of Eli","Mario Fica, Sefa, Faraja","Ballad of Eli","1","1","219985","spotify:user:iabouhashish","2019-08-20T16:16:50Z"
"spotify:track:7ko64FZgc63TnZuYhusU21","Roll Back - Single Mix","George FitzGerald, Lil Silva","Roll Back","1","1","184989","spotify:user:iabouhashish","2019-08-20T16:27:02Z"
"spotify:track:5Egam9v9YTrgqJKpli9eAF","tundra","GRLS","tundra","1","1","179759","spotify:user:iabouhashish","2019-08-26T14:41:00Z"
"spotify:track:28aEiMfveru430xmXhDCy3","Fuck it I love you","Lana Del Rey","Fuck it I love you / The greatest","1","1","218287","spotify:user:iabouhashish","2019-08-27T22:39:53Z"
