﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:44bVPjVJXl3eKayZGLvh0a","Lou Lou","Albin Lee Meldau","Lovers","1","2","124720","spotify:user:iabouhashish","2019-01-26T19:31:59Z"
"spotify:track:6gIsoUnO4GbOdCQ3Juv8jm","Give Me Tonight","Dustin Tebbutt","First Light","1","3","262326","spotify:user:iabouhashish","2019-01-26T19:31:59Z"
"spotify:track:2kMAKtrAu16HVWxBnOwuhd","Hurts Like Hell","Fleurie","Love and War","1","8","232000","spotify:user:iabouhashish","2019-01-26T19:31:59Z"
"spotify:track:44jVYj3TXig7Cf1vkgulnQ","watch","Billie Eilish","dont smile at me","1","4","177523","spotify:user:iabouhashish","2019-01-26T19:31:59Z"
"spotify:track:221UQLhvibWpAKp5MBNy3C","Orbit","Alice Phoebe Lou","Orbit","1","8","387367","spotify:user:iabouhashish","2019-01-26T19:31:59Z"
"spotify:track:3nnXAqJVpdiwYKAXFBpnlG","Foreign Hands","George Ogilvie","Foreign Hands","1","1","258651","spotify:user:iabouhashish","2019-01-26T19:31:59Z"
"spotify:track:6AQ3guMjWgetjRpQASwrE5","Forest Fires","Axel Flovent","Forest Fires","1","1","210924","spotify:user:iabouhashish","2019-01-26T19:31:59Z"
"spotify:track:68wibJU4yMiqNX79IaLAsN","Sense of Home","Harrison Storm","Sense of Home","1","1","265840","spotify:user:iabouhashish","2019-01-26T19:31:59Z"
"spotify:track:1YXFQs2NNCepiTRjg0SbkD","Tear It All Down","Ed Prosek","Tear It All Down","1","1","214875","spotify:user:iabouhashish","2019-01-26T19:31:59Z"
"spotify:track:48jKLs2qqEXKsQTmYHE0JD","Lifetimes","Oh Wonder","Ultralife","1","3","232493","spotify:user:iabouhashish","2019-01-26T19:31:59Z"
"spotify:track:2KCqAdd2ad0hpJc5ySoTE8","Coastline","Hollow Coves","Wanderlust","1","1","233973","spotify:user:iabouhashish","2019-01-26T19:31:59Z"
"spotify:track:20OrSCxQNhfAtiWtbLn3hf","Young Blood","Noah Kahan","Young Blood","1","1","208853","spotify:user:iabouhashish","2019-01-26T19:31:59Z"
"spotify:track:5waY6jcVBvzzS362OBQeAL","Levitate","The Palms","Mulholland Dr.","1","2","229806","spotify:user:iabouhashish","2019-01-26T19:31:59Z"
"spotify:track:17P46NK5XcTssfGq1ONdWO","Turn up Your Light","Boo Seeka","Never Too Soon","1","6","234880","spotify:user:iabouhashish","2019-01-26T19:31:59Z"
"spotify:track:7pE7Cx6c7in6C0y4bjdZOo","California Numb","CLOVES","California Numb","1","1","200028","spotify:user:iabouhashish","2019-02-10T19:05:14Z"
"spotify:track:4GzjBY3viCZtwRawM7SBsI","Bless Your Heart - Acoustic","DENM","Bless Your Heart (Acoustic)","1","1","194536","spotify:user:iabouhashish","2019-01-26T19:31:59Z"
"spotify:track:2docvXwmea0pDCPv7cDe9s","Filthy Rich","Evalyn","Filthy Rich","1","1","215106","spotify:user:iabouhashish","2019-01-26T19:31:59Z"
"spotify:track:0dcuGoAIPAT7OrP5CGSVBA","Leftovers","Dennis Lloyd","Leftovers","1","1","192628","spotify:user:iabouhashish","2019-01-26T19:31:59Z"
"spotify:track:4CCBhAY4xPdnuagMuTRABC","We Know","Gus & Vic","We Know","1","1","223243","spotify:user:iabouhashish","2019-01-26T19:31:59Z"
"spotify:track:76JmNHOa33V2o9aojtsghv","Love","Andrew Applepie","A Couple Of Pop Songs","1","5","201056","spotify:user:iabouhashish","2019-01-26T19:31:59Z"
"spotify:track:5Z1U0knfYnsfvZycgDeOiC","Big Jet Plane","Angus & Julia Stone","Down The Way","1","4","239146","spotify:user:iabouhashish","2019-01-26T19:31:59Z"
"spotify:track:1mhqLWesHXwGIKU1tkulVJ","Nightmare","flora cash","Can Summer Love Last Forever?","1","4","224287","spotify:user:iabouhashish","2019-01-26T19:31:59Z"
"spotify:track:1tweNeMlwxfeoOXklVibnf","You're Somebody Else","flora cash","Nothing Lasts Forever (And It's Fine)","1","2","218883","spotify:user:iabouhashish","2019-01-26T19:31:59Z"
"spotify:track:3TXwfwZM3z3BXmeGcT8JST","The Bad Boys","flora cash","Nothing Lasts Forever (And It's Fine)","1","2","213718","spotify:user:iabouhashish","2019-01-26T19:31:59Z"
"spotify:track:1i7MnatuVb8zlDInTe30JP","Sadness Is Taking Over","flora cash","Nothing Lasts Forever (And It's Fine)","1","5","228000","spotify:user:iabouhashish","2019-01-26T19:31:59Z"
"spotify:track:1hQH0uAP2UsrKvHeGHoFkI","Second Hand Car","Kim Churchill","Weight_Falls","1","5","221493","spotify:user:iabouhashish","2019-01-26T19:31:59Z"
"spotify:track:6y6vZ4hzEm5hqEv1qYRfbH","Hold On","Angus & Julia Stone","Down The Way","1","1","263680","spotify:user:iabouhashish","2019-01-26T19:31:59Z"
"spotify:track:33DLdGdo8h58yo0oucWsHT","Can We Hang On ?","Cold War Kids","LA DIVINE","1","2","223400","spotify:user:iabouhashish","2019-01-26T19:31:59Z"
