﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1gIoIq3RF1wl3Pp6d1Clzb","Open Passageways","All Them Witches","Dying Surfer Meets His Maker","1","6","194013","spotify:user:iabouhashish","2019-02-10T19:04:37Z"
"spotify:track:2EvUjCWg5zeaeKxGeOaHPh","When God Comes Back","All Them Witches","Lightning At The Door","1","2","213493","spotify:user:iabouhashish","2019-02-10T19:04:37Z"
"spotify:track:5PMpxJQfyrMPTfdEmyohky","Elk.Blood.Heart","All Them Witches","Our Mother Electricity","1","5","352073","spotify:user:iabouhashish","2019-02-10T19:04:37Z"
"spotify:track:2kFKIFc5RSTlhuGed6ZNZ7","hometown","cleopatrick","hometown","1","1","256071","spotify:user:iabouhashish","2019-02-10T19:05:02Z"
"spotify:track:4siB4DG9qAUrACMcIJOhGF","Living Room","David Maxim Micic","Who Bit the Moon","1","3","301033","spotify:user:iabouhashish","2019-02-10T19:07:21Z"
"spotify:track:3Z4o8kEaWTOHpdEQtmwmqK","687 Days","David Maxim Micic","Who Bit the Moon","1","5","319500","spotify:user:iabouhashish","2019-02-10T19:07:21Z"
"spotify:track:2JCv3LADgWrOcJoOa0so6m","Where's the Revolution","Depeche Mode","Spirit (Deluxe)","1","2","299133","spotify:user:iabouhashish","2019-02-10T19:07:34Z"
"spotify:track:1kcfGBb6kSrGqNIMW7rAlB","Oh Devil","Electric Guest","Plural","1","5","217586","spotify:user:iabouhashish","2019-02-10T19:08:03Z"
"spotify:track:5l8oNQsDDPNFUIV5M4lzRJ","Free Animal","Foreign Air","Free Animal","1","1","180400","spotify:user:iabouhashish","2019-02-10T19:08:29Z"
"spotify:track:1CmhkiXegdbj3Ewizvdg2Q","Best Friends","grandson","Best Friends","1","1","179839","spotify:user:iabouhashish","2019-02-10T19:08:34Z"
"spotify:track:0LSzBkkQZZkwV656r6etLg","Bury Me Face Down","grandson","Bury Me Face Down","1","1","231666","spotify:user:iabouhashish","2019-02-10T19:08:34Z"
"spotify:track:20UffSyFaybW0xW04IhSbL","Kiss Bang","grandson","Kiss Bang","1","1","172941","spotify:user:iabouhashish","2019-02-10T19:08:34Z"
"spotify:track:7yoBjKO6cCnK3zV8gr1k4e","Lydia","Highly Suspect","Mister Asylum","1","3","242560","spotify:user:iabouhashish","2019-02-10T19:08:53Z"
"spotify:track:2nZ7Cvk7RIdnG3KvihJd5F","Wasted","Kasabian","For Crying Out Loud (Deluxe)","1","5","247306","spotify:user:iabouhashish","2019-02-10T19:09:01Z"
"spotify:track:2J5Go5skiXpGqyk9DvK9ay","Amsterdam","Klangkuenstler, Alice Phoebe Lou","That's Me","1","10","311413","spotify:user:iabouhashish","2019-02-10T19:09:18Z"
"spotify:track:04NzfvGky8pjtMX7u5TpAC","Man On the Moon - Miguel Campbell Remix","Klangkuenstler, Alice Phoebe Lou","That's Me","1","11","348520","spotify:user:iabouhashish","2019-02-10T19:09:25Z"
"spotify:track:46exzPPGwXU9Xcoz5u618b","Fountain Of Youth","Local Natives","Sunlit Youth","1","4","233520","spotify:user:iabouhashish","2019-02-10T19:09:33Z"
"spotify:track:2arL1Kf2JBS7ms00JAz4w0","Help","Papa Roach","Help","1","1","215290","spotify:user:iabouhashish","2019-02-10T19:10:28Z"
"spotify:track:6znxjqOHukxx4in3qcEyAI","Start a Fire (feat. IN-Q)","Stephen, IN-Q","Sincerely","1","1","147565","spotify:user:iabouhashish","2019-02-10T19:10:44Z"
"spotify:track:332kjIokSlHaFf7yuDz2hH","Secrets","Tribe Society","Secrets","1","1","249363","spotify:user:iabouhashish","2019-02-10T19:10:51Z"
"spotify:track:4whYNstKoOSWQtAxfGf8gM","From The Stars","White Lies","To Lose My Life ...","1","7","292213","spotify:user:iabouhashish","2019-02-10T19:10:57Z"
"spotify:track:5KaQzrUnjPYEJI3ajUHNat","Flow","Shawn James","Shadows","1","7","171440","spotify:user:iabouhashish","2019-02-10T19:11:31Z"
"spotify:track:1u2CN23PR0T2BHfXRNHwnM","Alcatraz","Oliver Riot","Hallucinate","1","5","268310","spotify:user:iabouhashish","2019-02-10T19:12:00Z"
