﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:5l2d1C7MIXAnHTdk3p2V9q","Dinosaurs","Ruby Fields","Dinosaurs","1","1","233359","spotify:user:iabouhashish","2019-02-01T05:50:22Z"
"spotify:track:5gyOYM38bMhQJTia4p9FKp","They Own This Town","flora cash","They Own This Town","1","1","226240","spotify:user:iabouhashish","2019-02-01T21:03:42Z"
"spotify:track:1UkgVvfSonKu45fC1Iv7ry","Slow Motion","Jarryd James","Slow Motion","1","1","214229","spotify:user:iabouhashish","2019-02-01T21:03:42Z"
"spotify:track:2rGBxijuxSrJiLaVveA82H","Fous n'importe où","Charlotte Cardin, CRi","Fous n'importe où","1","1","180174","spotify:user:iabouhashish","2019-02-01T21:03:42Z"
"spotify:track:4NzMOnvSJVNKF7nw5NkXIP","bury a friend","Billie Eilish","bury a friend","1","1","193143","spotify:user:iabouhashish","2019-02-01T21:19:28Z"
"spotify:track:67H8U1DqJMTv9vCg7P95uR","You And I","LÉON","You And I","1","1","224063","spotify:user:iabouhashish","2019-02-01T22:26:52Z"
"spotify:track:3J53aCv1bxqwe5EkBSqzO5","When I Die","Beirut","Gallipoli","1","1","196008","spotify:user:iabouhashish","2019-02-03T02:29:24Z"
"spotify:track:3R55m033b7s9GjvvvQugA6","Home Love","George Glew","Home Love","1","1","208665","spotify:user:iabouhashish","2019-02-04T06:49:52Z"
"spotify:track:6BfQZ045gEvFa8pMItTstR","Closer Still","TENDER","Fear of Falling Asleep","1","8","250548","spotify:user:iabouhashish","2019-02-05T05:57:29Z"
"spotify:track:7Ky78y9gxAKlujRin3vzZf","Romance","Ex:Re","Ex:Re","1","4","403469","spotify:user:iabouhashish","2019-02-05T05:44:52Z"
"spotify:track:1kR2AzyFnBVzKIjjgMftoO","dust","RIMON","BBYGIRL FOCU$","1","3","257002","spotify:user:iabouhashish","2019-02-07T00:07:41Z"
"spotify:track:37PW5zbkDIya8arHEHEo6q","Yellow Mellow","Ocean Alley","Yellow Mellow EP","1","4","225655","spotify:user:iabouhashish","2019-02-07T16:30:04Z"
"spotify:track:5pagKsHBI73w3zv8PhQIGW","Cold Air","Fyfe","The Space Between","1","1","176631","spotify:user:iabouhashish","2019-02-07T17:18:18Z"
