﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3lO4asvW4EIASqpMYKWJk7","The Call Of The Mountains","Eluveitie","Origins","1","7","254066","spotify:user:iabouhashish","2019-02-09T13:19:22Z"
"spotify:track:1pfgsjmxVZhoZpeDx6POKv","Bones (feat. OneRepublic)","Galantis, OneRepublic","Bones (feat. OneRepublic)","1","1","205792","spotify:user:iabouhashish","2019-02-09T13:19:34Z"
"spotify:track:1JG8pJ7G8qJiy98DzCBL2E","Apologize","grandson","Apologize","1","1","198693","spotify:user:iabouhashish","2019-02-09T13:19:54Z"
"spotify:track:2QoDAlMnML5haTXvYRS86X","Ready To Let Go","Cage The Elephant","Ready To Let Go","1","1","187973","spotify:user:iabouhashish","2019-02-09T13:20:07Z"
"spotify:track:1AzyLY8KdlQpLKS0O2eC3d","Dreamin (with blackbear)","The Score, blackbear","Pressure","1","1","198640","spotify:user:iabouhashish","2019-02-09T13:20:13Z"
"spotify:track:6CCkq87g6MxHZ5uCYCqdk1","Too Bad","Rival Sons","Feral Roots","1","6","284786","spotify:user:iabouhashish","2019-02-09T13:20:22Z"
"spotify:track:5pYbuJrPAI6A4uzgllVjkF","Miracle","Caravan Palace","Miracle","1","1","216224","spotify:user:iabouhashish","2019-02-09T23:05:36Z"
"spotify:track:5zyySSTcBpXQ8gSbuONRH7","Parking Lot","Anderson .Paak","Malibu","1","8","234333","spotify:user:iabouhashish","2019-02-10T21:48:30Z"
"spotify:track:2voO8ka18WI06vcpDZFy7e","Friction","Kai Straw","Toothpick","1","1","322285","spotify:user:iabouhashish","2019-02-13T20:14:58Z"
"spotify:track:4mGdjNMo0RonTlOEb7cYg4","11 Minutes (with Halsey feat. Travis Barker)","YUNGBLUD, Halsey, Travis Barker","11 Minutes (with Halsey feat. Travis Barker)","1","1","239507","spotify:user:iabouhashish","2019-02-14T20:29:50Z"
"spotify:track:7vSm2hckpPHTrIHpqmqOze","One Drink","Picture This","One Drink","1","1","200720","spotify:user:iabouhashish","2019-02-14T21:38:44Z"
"spotify:track:7nzYP2Eznmu83TFdB7wDE9","If I Could Be Like You","Castlecomer","Castlecomer","1","1","166920","spotify:user:iabouhashish","2019-02-14T21:38:50Z"
"spotify:track:6hW1OUSykhy9NZa7IUHAjd","This Thing We Got","The Kite String Tangle","The Kite String Tangle","1","5","226962","spotify:user:iabouhashish","2019-02-24T17:43:02Z"
"spotify:track:2ZPDsG5Ps3VUaXHEvsjxV6","Wide Awake","Petit Biscuit","Wide Awake","1","1","195093","spotify:user:iabouhashish","2019-02-25T19:23:24Z"
"spotify:track:2QRBZlT8vJLS9Kx2tsTo8x","Behind My Back","James Quick","Behind My Back","1","1","207000","spotify:user:iabouhashish","2019-02-25T19:31:20Z"
"spotify:track:1CCn1iWB8qqr1ghHTe2tA8","Stained Glass","Ocean Alley","Stained Glass","1","1","226346","spotify:user:iabouhashish","2019-02-25T19:59:02Z"
"spotify:track:1ahVFh0ViDZr8LvkEVlq3B","No Sleep (feat. Bonn)","Martin Garrix, Bonn","No Sleep (feat. Bonn)","1","1","207094","spotify:user:iabouhashish","2019-02-26T03:22:30Z"
