﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:5zT5cMnMKoyruPj13TQXGx","I Found","Amber Run","5AM (Deluxe)","1","1","273000","spotify:user:iabouhashish","2019-01-26T19:36:59Z"
"spotify:track:6Rk9OCPLRprxsMmYgnU1UF","For Island Fires and Family","Dermot Kennedy","Dermot Kennedy","1","5","285644","spotify:user:iabouhashish","2019-01-26T19:36:59Z"
"spotify:track:72mVgYJgfTzsBceg33BZj9","Shelter","Dermot Kennedy","Dermot Kennedy","1","12","270000","spotify:user:iabouhashish","2019-01-26T19:36:59Z"
"spotify:track:4lkva3Ds1ObKwdSwhOAyNr","Baby Esther","Kyle Dion","Baby Esther","1","1","152991","spotify:user:iabouhashish","2019-01-26T19:36:59Z"
"spotify:track:377HC7NhzOesbV7n7qzUxP","17","Mahalia","Diary of Me","1","1","211600","spotify:user:iabouhashish","2019-01-26T19:36:59Z"
"spotify:track:5KfkMNK3337yOtx5lkBajq","Stop By","Tayrell, Your Girl Pho","Stop By (feat. Your Girl Pho)","1","1","182662","spotify:user:iabouhashish","2019-02-01T23:44:39Z"
"spotify:track:5bAazKBFJXIslvzbNOUxzC","We Stayed Up All Night","Tourist, Ardyn","Essentials","1","10","265758","spotify:user:iabouhashish","2019-02-01T23:44:39Z"
"spotify:track:3nZNrLcULGn4EEUyHGcQwY","Séduction","Joanna","Séduction","1","1","253518","spotify:user:iabouhashish","2019-02-01T23:44:39Z"
"spotify:track:6rZtlYru44l92npSBTbUN7","Mother May I Sleep With Danger?","Joy Crookes","Influence EP","1","4","207706","spotify:user:iabouhashish","2019-02-01T23:44:39Z"
"spotify:track:6V0PPYLaQ5fCAPftwIgpuN","Moderation","Florence + The Machine","Moderation","1","1","188615","spotify:user:iabouhashish","2019-02-01T23:44:39Z"
"spotify:track:57l8DihxRmisuf475H7RnO","queen","slenderbodies","soraya","1","4","170280","spotify:user:iabouhashish","2019-02-01T23:44:39Z"
"spotify:track:4c00AvEM499L1OR4dNL0G4","Tainted","TENDER","Fear of Falling Asleep","1","9","240373","spotify:user:iabouhashish","2019-02-01T23:44:39Z"
"spotify:track:3SO5iPrvbgXz2XUwjOExDs","I Know (feat. Fiona Apple) - RISE Recording","King Princess, Fiona Apple","I Know (feat. Fiona Apple) [RISE Recording]","1","1","299613","spotify:user:iabouhashish","2019-02-06T08:36:35Z"
