﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3eFSZcc60tTjQChGcFyZ7R","End of Forever","Rival Sons","Feral Roots","1","10","232786","spotify:user:iabouhashish","2019-02-10T20:27:27Z"
"spotify:track:2g2GdzaXNjsEnlJmjnAgYH","arrow","half•alive","arrow","1","1","220982","spotify:user:iabouhashish","2019-02-10T20:27:38Z"
"spotify:track:5DJTYOAHZEKjNqXpOwnomi","None Shall Pass","Aesop Rock","None Shall Pass","1","2","243626","spotify:user:iabouhashish","2019-02-10T20:27:43Z"
"spotify:track:4S9u37KVYDopznUoioaMMk","I Don’t Hold A Grudge","Alice Merton","Mint","1","8","219093","spotify:user:iabouhashish","2019-02-10T20:27:50Z"
"spotify:track:17LZZKdizjAKunbK4wtLTW","Animal","AURORA","Animal","1","1","215400","spotify:user:iabouhashish","2019-02-10T20:28:05Z"
"spotify:track:6BVZyHVBeNkPaLF2e7G0c1","Enough to Believe - Jamie Jones Remix","Bob Moses, Jamie Jones","Enough to Believe (Jamie Jones Remix)","1","1","314872","spotify:user:iabouhashish","2019-02-10T20:28:20Z"
"spotify:track:6VWAojRGH8WyMQxEBuUPB5","Kape Fear","Elder Island","Kape Fear","1","1","251494","spotify:user:iabouhashish","2019-02-10T20:28:26Z"
"spotify:track:6V0PPYLaQ5fCAPftwIgpuN","Moderation","Florence + The Machine","Moderation","1","1","188615","spotify:user:iabouhashish","2019-02-10T20:28:33Z"
"spotify:track:7KubeWC5zOcYOLTYxCtnYE","In My Arms (feat. Jamie N Commons)","Grizfolk, Jamie N Commons","In My Arms (feat. Jamie N Commons)","1","1","172386","spotify:user:iabouhashish","2019-02-10T20:28:40Z"
"spotify:track:6P0dI2yAf2cmg4UrCcStwE","Waiting For You","Grizfolk","Waking Up The Giants","1","7","237853","spotify:user:iabouhashish","2019-02-10T20:28:41Z"
"spotify:track:1cTzXrRHjX72ylOtloaf6z","All in My Head","ISLAND","All in My Head","1","1","264849","spotify:user:iabouhashish","2019-02-10T20:28:59Z"
"spotify:track:6OoRvnnief3Huz9mtUIVDk","Night Running","Millie Turner","Night Running","1","1","211325","spotify:user:iabouhashish","2019-02-10T20:29:15Z"
"spotify:track:6tXYVzmdR7l7yEXY11b2Hq","F+L","Point Point","F+L","1","1","300000","spotify:user:iabouhashish","2019-02-10T20:29:27Z"
"spotify:track:6D8WgDaIuyirn6egGauzVK","Love Me Back","RITUAL, Tove Styrke","Love Me Back","1","1","178233","spotify:user:iabouhashish","2019-02-10T20:29:35Z"
"spotify:track:3d2SCtuaymov8MjKfTDPOp","Higher States","Sundara Karma","Higher States","1","1","258106","spotify:user:iabouhashish","2019-02-10T20:29:41Z"
"spotify:track:4gPIuYs6RVfVxVSlzibRm1","Rage","Ocean Alley","Chiaroscuro","1","6","253847","spotify:user:iabouhashish","2019-02-10T20:29:44Z"
"spotify:track:2TqufSS0yIHjfNQe5rkpZM","Worship","Golden Features","Worship","1","1","244007","spotify:user:iabouhashish","2019-02-19T07:30:46Z"
