﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4evmHXcjt3bTUHD1cvny97","Beautiful People (feat. Khalid)","Ed Sheeran, Khalid","Beautiful People (feat. Khalid)","1","1","197866","spotify:user:iabouhashish","2019-07-03T13:28:07Z"
"spotify:track:5GDtiMZfvmnl6P2rVB0x6O","Mars Mission","Andrew Applepie","Earth Ran Out Of Disk Space 1","1","1","186500","spotify:user:iabouhashish","2019-07-03T13:30:11Z"
"spotify:track:0oA9wBGDY4uyILLg4GymWP","Tom's Diner","AnnenMayKantereit, Giant Rooks","Tom's Diner","1","1","269333","spotify:user:iabouhashish","2019-07-03T15:13:32Z"
"spotify:track:08IixbHnb6ce1mHfd1kkW5","Show Me (feat. VÉRITÉ)","Pell, VÉRITÉ","Gravity","1","7","191129","spotify:user:iabouhashish","2019-07-03T16:10:04Z"
"spotify:track:6ZuQAppmSEQ9IrDhDU8RM6","Closer To You","Clairo","Closer To You","1","1","184293","spotify:user:iabouhashish","2019-07-03T18:01:18Z"
"spotify:track:45PxuJqJBnPXZKLxoo9Apj","SUPERPOSITION","Daniel Caesar, John Mayer","CASE STUDY 01","1","7","263794","spotify:user:iabouhashish","2019-07-03T18:14:48Z"
"spotify:track:14SdFsC2m6kl7buXWJb0n3","Overdose (with HONNE)","SG Lewis, HONNE","Dawn","1","4","247173","spotify:user:iabouhashish","2019-07-03T18:54:15Z"
"spotify:track:4rRD6CPPniF1xlHQVt3Uow","Same Love","Iseo & Dodosound","Same Love","1","5","169733","spotify:user:iabouhashish","2019-07-04T09:15:12Z"
"spotify:track:4zDZY6XnZRjGlRDr9h5gOG","Test the Waters","Autograf, WYNNE","Love & Retrograde","1","1","228000","spotify:user:iabouhashish","2019-07-04T18:37:06Z"
"spotify:track:6JR6r8EhG9p4YZkLWJpWHt","Lone Wolf","Moglii, Novaa","Lone Wolf","1","1","245587","spotify:user:iabouhashish","2019-07-04T18:43:13Z"
"spotify:track:0UIfkOgKTw9IPLE7ClBkJL","Lisa","Edsun","You Are Not Just One Thing","1","2","320953","spotify:user:iabouhashish","2019-07-04T18:49:43Z"
"spotify:track:1BF47bnpH6sLlVkUBf17N1","Catherine","PHFAT","Catherine","1","1","196526","spotify:user:iabouhashish","2019-07-04T18:54:53Z"
"spotify:track:78ZMDPjI8NLyAsJWwnAMVm","White","Ta-ku, matt mcwaters","White","1","1","180000","spotify:user:iabouhashish","2019-07-05T18:28:52Z"
"spotify:track:0sXnh5aSCJm9OMwT73JPjS","Similar","Tora","Similar","1","1","168375","spotify:user:iabouhashish","2019-07-05T18:32:48Z"
"spotify:track:1bwXb2XVY41k3HC6ZhtWdc","When U Went Away (feat. YEBBA)","Mark Ronson, YEBBA","Late Night Feelings","1","7","117934","spotify:user:iabouhashish","2019-07-05T20:06:34Z"
"spotify:track:0YIUZ1YSkeOSovmeR7IRl6","I Fell In Love With the Devil - Radio Edit","Avril Lavigne","I Fell In Love With the Devil (Radio Edit)","1","1","218878","spotify:user:iabouhashish","2019-07-06T13:37:57Z"
"spotify:track:6CWMlAZzYIF50NT2nsX3iC","What Am I Here For","Jade Bird","Something American","1","5","283696","spotify:user:iabouhashish","2019-07-07T08:02:46Z"
"spotify:track:377HC7NhzOesbV7n7qzUxP","17","Mahalia","Diary of Me","1","1","211600","spotify:user:iabouhashish","2019-07-07T08:03:17Z"
"spotify:track:6U6ulQrWXZawrcVr6F1nVe","Poke - from Tiny Changes: A Celebration of Frightened Rabbit's 'The Midnight Organ Fight'","Daughter","Poke (from Tiny Changes: A Celebration of Frightened Rabbit's 'The Midnight Organ Fight')","1","1","306720","spotify:user:iabouhashish","2019-07-07T18:32:19Z"
