﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4s7DGDyfSty3AS71Xrtt1D","Breaking Down","The Black Keys",""Let's Rock"","1","10","205037","spotify:user:iabouhashish","2019-07-03T12:22:00Z"
"spotify:track:5AEyKKiz6YPTLR7EDFLqMS","Walk Across The Water","The Black Keys",""Let's Rock"","1","4","235841","spotify:user:iabouhashish","2019-07-03T12:22:39Z"
"spotify:track:7m9DHFcF1ulH3ctEhe5w5B","Strangers","City and Colour","Strangers","1","1","244560","spotify:user:iabouhashish","2019-07-03T12:38:59Z"
"spotify:track:5wdsoGTygcu6XxngTBKyb3","The Rush","JJ Wilde","Wilde Eyes, Steady Hands","1","2","187890","spotify:user:iabouhashish","2019-07-03T12:42:39Z"
"spotify:track:7klyOzKwXkso1LDpjzgj7P","Not In California","K.Flay","Not In California","1","1","217040","spotify:user:iabouhashish","2019-07-03T12:43:32Z"
"spotify:track:2JoIjuzRplpYGvvLpSW2on","Sad Song (feat. TINI)","Alesso, TINI","Sad Song (feat. TINI)","1","1","154024","spotify:user:iabouhashish","2019-07-03T12:45:00Z"
"spotify:track:38fRlQN4qtC0KSiTrms3na","What Am I Doing Wrong?","Clasio, Rosenfeld","What Am I Doing Wrong?","1","1","229480","spotify:user:iabouhashish","2019-07-03T13:10:06Z"
"spotify:track:39nMGwPQ57dkaq0aGtTW2h","Close My Eyes","Josh Cashman","Close My Eyes","1","1","247246","spotify:user:iabouhashish","2019-07-03T13:10:09Z"
"spotify:track:4nClv2UNWIsM6tXajGxcSe","ParoVie (feat. Damso)","D.A.V, Damso","ParoVie (feat. Damso)","1","1","237000","spotify:user:iabouhashish","2019-07-03T14:11:59Z"
"spotify:track:0q3X2Ichc3Q2QJRciJcIGT","My Iron Lung (2 Meter Session)","Radiohead","Jan Douwe Kroeske presents: 2 Meter Sessions, Vol. 6","1","17","276099","spotify:user:iabouhashish","2019-07-03T14:20:40Z"
"spotify:track:74Ih75RCXBRZqKI1sXzepl","Wake Up Call - Kwon Remix","Manila Killa, Mansionair, Kwon","1993 (Remixes)","1","7","228125","spotify:user:iabouhashish","2019-07-03T15:08:45Z"
"spotify:track:0tUqaDwJlYuzBD8xk7zkjP","Sinner","Klingande, Stevie Appleton","Sinner","1","1","189849","spotify:user:iabouhashish","2019-07-03T15:33:57Z"
"spotify:track:4eDTJNDVuPHxb7QXGIagLr","Duno","Andhim","Duno","1","1","368586","spotify:user:iabouhashish","2019-07-03T16:00:40Z"
"spotify:track:0BmIlqaTPQ8CxynWbQakUB","Nothing But You - Lindstrøm & Prins Thomas Remix (Edit)","Bob Moses, Lindstrøm & Prins Thomas, Lindstrøm, Prins Thomas","Nothing But You (Lindstrøm & Prins Thomas Remix)","1","2","204905","spotify:user:iabouhashish","2019-07-03T16:15:39Z"
"spotify:track:6n8Rao9bqH5zQnXiY6d7tr","Win Win - Yotto Remix","Diplo, Tove Lo, Yotto","Win Win (Yotto Remix)","1","1","243586","spotify:user:iabouhashish","2019-07-03T16:41:11Z"
"spotify:track:6oJ6le65B3SEqPwMRNXWjY","Higher Love","Kygo, Whitney Houston","Higher Love","1","1","228267","spotify:user:iabouhashish","2019-07-03T17:40:25Z"
"spotify:track:7dunL1QONXkBXou7ZD9rhQ","El Pozo - Wisemen Project & Elyella Remix","IZAL, ELYELLA, WISEMEN PROJECT","El Pozo (Wisemen Project & Elyella Remix)","1","1","263040","spotify:user:iabouhashish","2019-07-03T17:47:05Z"
"spotify:track:2bZ8vGCwKb00MSatCiiojJ","Restless","Moon Taxi","Restless","1","1","195030","spotify:user:iabouhashish","2019-07-03T18:04:52Z"
"spotify:track:3hgMfMq1Tg2pfnUvp2RBWL","Brew (Regurgitated)","Declan McKenna","Regurgitated","1","1","364148","spotify:user:iabouhashish","2019-07-03T18:24:20Z"
"spotify:track:0FDCtTazLpikLjZZuQ9zjV","Sunday - Alex Metric Remix","Foals, Alex Metric","Sunday (Remixes)","1","2","437533","spotify:user:iabouhashish","2019-07-03T19:23:31Z"
"spotify:track:7KiekP4ylyUXq3YkFjjhgy","Ghost - Solis & Sean Truby Remix","JES, Solis & Sean Truby","Ghost (Solis & Sean Truby Remix)","1","1","234673","spotify:user:iabouhashish","2019-07-03T20:04:38Z"
