﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3m3fMft72KYwvwnDINWRcA","HEAVEN","The Blaze","HEAVEN","1","1","221226","spotify:user:iabouhashish","2019-01-26T19:35:32Z"
"spotify:track:3KRMHJSi1h2jdQOY4bb6Mp","Someone In The Doorway","Ben Howard","Noonday Dream","1","5","296293","spotify:user:iabouhashish","2019-01-26T19:35:32Z"
"spotify:track:1Z4UKak2eNteHFZkwiYPNz","One Time","Marian Hill","Sway","1","1","217613","spotify:user:iabouhashish","2019-01-26T19:35:32Z"
"spotify:track:1y5FGDQHfDOSIRye0jkoBt","On & On","Her, AnnenMayKantereit, Roméo Elvis","Her","1","5","218106","spotify:user:iabouhashish","2019-01-26T19:35:32Z"
"spotify:track:5pcIDNWnum1jeKG21zG7iC","Please Just Let Me Know","Arroyo","Please Just Let Me Know","1","1","183579","spotify:user:iabouhashish","2019-01-26T19:35:32Z"
"spotify:track:64QajdzI62VYHWfTjr30bP","You Were Dead","Slow Turismo","You Were Dead","1","1","248013","spotify:user:iabouhashish","2019-01-26T19:35:32Z"
"spotify:track:2x24uEfWPzORC6r7FdjBFz","Young Liars","TV On The Radio","Young Liars","1","4","312280","spotify:user:iabouhashish","2019-01-26T19:35:32Z"
"spotify:track:11u7702Enw75RstlLzMIiu","Orbit","SŸDE, Ashe","Orbit","1","1","178919","spotify:user:iabouhashish","2019-01-26T19:35:32Z"
"spotify:track:0uldII45YbbaU9mUeWNnMP","Secrets","Andrew Applepie","Two Suns","1","2","188982","spotify:user:iabouhashish","2019-01-26T19:35:32Z"
"spotify:track:59JtQ8mThUAnRGValaExhc","I Believe in Us","LÉON","Surround Me - EP","1","2","202146","spotify:user:iabouhashish","2019-01-26T19:35:32Z"
"spotify:track:6bpcvTmxA0iVRCBER7xw1a","Driver","Billy Raffoul","Driver","1","1","176004","spotify:user:iabouhashish","2019-01-26T19:35:32Z"
"spotify:track:0JWhOjXZvKRtD6n1H6CRVV","amnesia","slenderbodies","amnesia","1","1","207925","spotify:user:iabouhashish","2019-01-26T19:35:32Z"
"spotify:track:3Pu028kVMl1TZYaiXAEBMK","Broke My Rules","PYØR","Broke My Rules","1","1","211226","spotify:user:iabouhashish","2019-01-26T19:35:32Z"
"spotify:track:4rp5FuWjvs8r7YeDNlDXom","Sweet Alchemy","Terence Ryan","Will Word & Hand","1","2","182937","spotify:user:iabouhashish","2019-01-26T19:35:32Z"
"spotify:track:1sJO0cfMPRDcYcquR1je9h","Everest","Cards","Everest","1","1","227000","spotify:user:iabouhashish","2019-01-26T19:35:32Z"
"spotify:track:5WJS73wsTb0IbQtXEccCXX","Little Things","Vasser","A Telling End","1","1","244823","spotify:user:iabouhashish","2019-01-26T19:35:32Z"
"spotify:track:212uDN3Bw9HohtowG5KF6U","Big Bad Wolf","Shakey Graves","Can't Wake Up","1","10","196630","spotify:user:iabouhashish","2019-01-26T19:35:32Z"
