﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3y29QLWHxB1G7CfuFyZ8qe","I'm That Guy","Agar Agar","Cardan","1","1","448583","spotify:user:iabouhashish","2019-02-10T19:59:50Z"
"spotify:track:3Wtm09sSjyoidTrms6H4H6","You're High","Agar Agar","You're High","1","1","270000","spotify:user:iabouhashish","2019-02-10T19:59:50Z"
"spotify:track:7vZ8buWHZViuzjiGc20cY0","Glory Box","The Avener, John Martyn","The Wanderings Of The Avener","2","2","259160","spotify:user:iabouhashish","2019-02-10T20:00:07Z"
"spotify:track:79umRR7iGRWllWrxRQNLd1","New Moon Walker","BLOW","Vertigo","1","2","198000","spotify:user:iabouhashish","2019-02-10T20:00:22Z"
"spotify:track:1kTccjE3PoC2i7NkqeiGg7","Green Unicorn","BLOW","Vertigo","1","3","187226","spotify:user:iabouhashish","2019-02-10T20:00:22Z"
"spotify:track:4Qm2UIzDEBL68fsf6QXeCN","Love Gotten","Bokito","Love Gotten","1","1","226892","spotify:user:iabouhashish","2019-02-10T20:00:30Z"
"spotify:track:6uQe7SVjdDlRqDRAi0qnKg","Talking","Elderbrook","Talking","1","2","202844","spotify:user:iabouhashish","2019-02-10T20:00:40Z"
"spotify:track:5HYEglpB4LSbIHllCDoxvM","Come to the Fore","Fellini Félin","Temporary Fiction","1","2","234760","spotify:user:iabouhashish","2019-02-10T20:00:45Z"
"spotify:track:7LDxTBaXSXy8lwGt3lwkce","Two Brothers","Hanni El Khatib","Moonlight","1","11","347613","spotify:user:iabouhashish","2019-02-10T20:00:48Z"
"spotify:track:5RPx9i0nwUdzpvJcYFTe1D","Come Follow Me Down","George Taylor","Come Follow Me Down","1","1","192666","spotify:user:iabouhashish","2019-02-10T20:00:57Z"
"spotify:track:066S2GCR3cxySlPQqA3uoz","Oh My","James Quick","Leftovers","1","3","195840","spotify:user:iabouhashish","2019-02-10T20:01:10Z"
"spotify:track:1iF2YaON1KC2FAWRgxTA4F","That Face","James Quick, Ayotemi","Leftovers","1","5","248000","spotify:user:iabouhashish","2019-02-10T20:01:10Z"
"spotify:track:4sG6J4S2FCuMr3oooYAwFS","Astronaut - Something About Your Love","Mansionair","Astronaut (Something About Your Love)","1","1","202694","spotify:user:iabouhashish","2019-02-10T20:01:22Z"
"spotify:track:3nATeGcFdtkhpUrRvgr667","Easier","Mansionair","Easier","1","1","272599","spotify:user:iabouhashish","2019-02-10T20:01:22Z"
"spotify:track:0cahtHEywK64NSWqm2SDTi","Help I'm Alive","Metric","Fantasies","1","1","286013","spotify:user:iabouhashish","2019-02-10T20:01:38Z"
"spotify:track:0yvnLqgzDGUx84G1mxqHit","Fire","MICKY","Fire","1","1","223565","spotify:user:iabouhashish","2019-02-10T20:01:50Z"
"spotify:track:6MDijuuArPJv1vbp7K1x3f","Genghis Khan","Miike Snow","iii","1","3","212146","spotify:user:iabouhashish","2019-02-10T20:01:52Z"
"spotify:track:7AzF1C8pvbeWnZT5FwD6dj","Blue Veins","The Raconteurs","Broken Boy Soldiers","1","10","232493","spotify:user:iabouhashish","2019-02-10T20:01:57Z"
"spotify:track:50KMSHEZjJx9Ug8vL60BqP","Distant Arizona","Peking Duk, Cloud Control","Reprisal","1","2","280101","spotify:user:iabouhashish","2019-02-10T20:02:00Z"
"spotify:track:47E5PZDMp6Wsg4S8wakGQZ","Pressure and Time","Rival Sons","Pressure & Time (Redux)","1","3","196773","spotify:user:iabouhashish","2019-02-10T20:02:07Z"
"spotify:track:2JRkfugsvOPvTLmd0dVppc","It Was A Sin","The Revivalists","Men Amongst Mountains","1","4","294640","spotify:user:iabouhashish","2019-02-10T20:02:10Z"
"spotify:track:7tY1VsxEz6OGN3FkUMN2MU","High By The Beach","Modern Space","High By The Beach.","1","1","217812","spotify:user:iabouhashish","2019-02-10T20:02:28Z"
"spotify:track:0gqxf8wrEkewjmZB7OT4mL","You Worry Me","Nathaniel Rateliff & The Night Sweats","You Worry Me","1","1","214160","spotify:user:iabouhashish","2019-02-10T20:02:34Z"
"spotify:track:4DWAQLUA3lF3Ozcqni5UY9","Falling (Whethan Redo)","Opia, Whethan","Falling (Whethan Redo)","1","1","189677","spotify:user:iabouhashish","2019-02-10T20:02:39Z"
"spotify:track:4iBL57h3vCuP0clBaHky79","Animals","Orange Skyline","Things That I Hide","1","5","201026","spotify:user:iabouhashish","2019-02-10T20:02:46Z"
"spotify:track:1yIMrzF45Ven2FzPFAr0Gg","Mr. Doctor Man","Palaye Royale","Boom Boom Room (Side A)","1","4","244586","spotify:user:iabouhashish","2019-02-10T20:02:56Z"
"spotify:track:3mv6TYbXOfJV6Nuy58xtJH","Pieces Of The People We Love","The Rapture","Pieces Of The People We Love","1","2","223506","spotify:user:iabouhashish","2019-02-10T20:03:07Z"
"spotify:track:5g5QD2ddj7lbEFfv312Wjo","Brighter","RÜFÜS DU SOL","Bloom","1","1","281084","spotify:user:iabouhashish","2019-02-10T20:03:13Z"
"spotify:track:1ceXKMA7LKhTpEUFWwEZFp","Electric Love","Slydigs","Never To Be Tamed","1","11","225320","spotify:user:iabouhashish","2019-02-10T20:03:32Z"
"spotify:track:1e1IiUItCGhp8LvU8aZ213","I'm the Mountain","Stoned Jesus","Seven Thunders Roar","1","4","961942","spotify:user:iabouhashish","2019-02-10T20:03:38Z"
"spotify:track:0MTer0KjBtxs0aZuAYxGfR","The Grey","Thrice","The Grey","1","1","245880","spotify:user:iabouhashish","2019-02-10T20:03:52Z"
"spotify:track:6pqKbOiVd58jcnxqIB10Ra","Amerika","Young the Giant","Home of the Strange","1","1","240240","spotify:user:iabouhashish","2019-02-10T20:04:07Z"
