﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:7Lkdp7hZHmFnlbHmvimmw4","I'm Not Ready to Relax","The Cactus Channel, Sam Cromack","Do It for Nothing","1","1","261513","spotify:user:iabouhashish","2019-01-26T19:33:53Z"
"spotify:track:0IniDDYo8XdZkiIp5EmBP6","Miss Mirage","NoMBe","Miss Mirage","1","1","262253","spotify:user:iabouhashish","2019-01-26T19:33:53Z"
"spotify:track:6rLtZLPl7kSOJ7gkzmWlUw","Tenderly","Thomas Oliver","Floating in the Darkness","1","1","283520","spotify:user:iabouhashish","2019-01-26T19:33:53Z"
"spotify:track:402inY9UFrPImLssOP0Wo8","At Night In Dreams","White Denim","Corsicana Lemonade","1","1","244346","spotify:user:iabouhashish","2019-01-26T19:33:53Z"
"spotify:track:3U8gSvBmwGWGO5IUCfG86o","Half Life","Twin Shadow","Eclipse","1","9","202480","spotify:user:iabouhashish","2019-01-26T19:33:53Z"
"spotify:track:4FZgvyYpzwftlMtI2guDLn","High All Day","Max Frost","High All Day","1","1","175800","spotify:user:iabouhashish","2019-01-26T19:33:53Z"
"spotify:track:2EE4pMWgbed1cQgLP8t2H1","Seminole","NoMBe","Change of Hearts","1","3","256530","spotify:user:iabouhashish","2019-01-26T19:33:53Z"
"spotify:track:79jtRjaPfp0XR7cEKIYcTw","bruised","morgxn","bruised","1","1","195289","spotify:user:iabouhashish","2019-01-26T19:33:53Z"
"spotify:track:3ZTVNcirP0VsMcMFIPOYEM","Favorite Color Is Blue","Robert DeLong, K.Flay","Favorite Color Is Blue","1","1","214629","spotify:user:iabouhashish","2019-01-26T19:33:53Z"
"spotify:track:3sh0NSn2Eq1ERtTRmITZze","home","morgxn","home","1","1","213994","spotify:user:iabouhashish","2019-01-26T19:33:53Z"
"spotify:track:2T9VHnaorfTFWWsoOpFuNZ","If This Ain't Love","Hænrik","If This Ain't Love","1","1","251132","spotify:user:iabouhashish","2019-01-26T19:33:53Z"
"spotify:track:4UwS8TQJEEH69sSdg0QbWU","Moon","Krrum","Moon","1","1","203984","spotify:user:iabouhashish","2019-01-26T19:33:53Z"
"spotify:track:2VtlAaG8E8vV1LP8zLhGtY","Next To You (feat. Savoi)","L D R U, Savoi","Next To You (feat. Savoi) [Remixes]","1","1","176117","spotify:user:iabouhashish","2019-01-26T19:33:53Z"
"spotify:track:32Z54yyOInrL7bAk2ZRN2d","Paranoia, Ghosts & Other Sounds","SAFIA","Paranoia, Ghosts & Other Sounds","1","1","265500","spotify:user:iabouhashish","2019-01-26T19:33:53Z"
"spotify:track:0TVwMTKyuSp41ytctKTA3T","Feel the Way I Do","The Jungle Giants","Quiet Ferocity","1","2","205146","spotify:user:iabouhashish","2019-01-26T19:33:53Z"
"spotify:track:19nduPc9nAYRcQkK4xRUrf","Tremble","Nicole Millar","Tremble","1","3","197700","spotify:user:iabouhashish","2019-01-26T19:33:53Z"
"spotify:track:6CohXotXOrMVAB0bSPzqzm","The Trouble With Us","Marcus Marr, Nick Murphy","Work","1","2","222066","spotify:user:iabouhashish","2019-01-26T19:33:53Z"
"spotify:track:62crJjeje0T8g5N3Tuq00V","Summer's Gone","NoMBe, Thutmose","Summer's Gone","1","1","213698","spotify:user:iabouhashish","2019-01-26T19:33:53Z"
"spotify:track:5U6ZzFbxI9AHpWUWEy8rw7","Freak Like Me","NoMBe","Freak Like Me","1","1","176889","spotify:user:iabouhashish","2019-01-26T19:33:53Z"
"spotify:track:6BLtDKhkWJCIm1x0RhCVEx","My Love","Whilk & Misky","My Round","1","6","253460","spotify:user:iabouhashish","2019-01-26T19:33:53Z"
"spotify:track:2GMYVDNrHxzYpCIkZ2JZMu","My Love Is Gone","SAFIA","Internal","1","8","257353","spotify:user:iabouhashish","2019-01-26T19:33:53Z"
"spotify:track:2nwOFUfadMDK4H8kuBYdpa","Listen to Soul, Listen to Blues","SAFIA","Listen to Soul, Listen to Blues","1","1","231207","spotify:user:iabouhashish","2019-01-26T19:33:53Z"
"spotify:track:1CROjT5tMJLDKq49FcqlLx","Say My Name","Peking Duk, Benjamin Joseph","Say My Name","1","1","186977","spotify:user:iabouhashish","2019-01-26T19:33:53Z"
"spotify:track:4brxK0YZsEuh2wB0QZvLK0","Stop Me (Stop You)","Nick Murphy","Stop Me (Stop You)","1","1","495871","spotify:user:iabouhashish","2019-01-26T19:33:53Z"
"spotify:track:3u4rIcRR7gSoJdkJIx9zpu","Young","Vallis Alps","Vallis Alps","1","1","324122","spotify:user:iabouhashish","2019-01-26T19:33:53Z"
"spotify:track:5DuacSyULR3rNptMu6i7VR","Water","Jack Garratt","Phase (Deluxe)","2","2","220760","spotify:user:iabouhashish","2019-01-26T19:33:53Z"
"spotify:track:6R742dF4R83RaW7FHAJ5r9","Evil - RAC Mix","James Vincent McMorrow","Evil (RAC Mix)","1","1","264666","spotify:user:iabouhashish","2019-01-26T19:33:53Z"
"spotify:track:40PYeQjt149YOfq6H20vmd","High","Peking Duk, Nicole Millar","High","1","1","228000","spotify:user:iabouhashish","2019-01-26T19:33:53Z"
"spotify:track:0lvXfUug5YmOHOyHgXufqF","Fake Magic","Peking Duk, AlunaGeorge","Fake Magic","1","1","167058","spotify:user:iabouhashish","2019-01-26T19:33:53Z"
"spotify:track:38RoOyatCm5kpj3yhaIy99","Make Them Wheels Roll","SAFIA","Internal","1","9","245666","spotify:user:iabouhashish","2019-01-26T19:33:53Z"
"spotify:track:2MK8xQVIFA81r32V4E1MkT","Let You Down","Peking Duk, Icona Pop","Let You Down","1","1","218853","spotify:user:iabouhashish","2019-01-26T19:33:53Z"
"spotify:track:2Nkzsfs0tdCFTkDc3qO4zi","Low Blows","Meg Mac","Low Blows","1","2","212786","spotify:user:iabouhashish","2019-01-26T19:33:53Z"
"spotify:track:6InKbhfioifh4w1IhOIXmJ","Not That Easy","Lime Cordiale","Not That Easy","1","1","221333","spotify:user:iabouhashish","2019-01-26T19:33:53Z"
"spotify:track:3yiFxwFOYBcw6LTjlvpUuR","Roll Up Your Sleeves","Meg Mac","Roll Up Your Sleeves","1","1","185059","spotify:user:iabouhashish","2019-01-26T19:33:53Z"
"spotify:track:1PlODCjGsbZRKlDljoBd4m","Polygraph Eyes","YUNGBLUD","YUNGBLUD","1","4","223043","spotify:user:iabouhashish","2019-02-10T19:34:33Z"
"spotify:track:2pxhGhEHQL7vRPrGrRpF2D","The Falling","FIL BO RIVA","If You’re Right, It’s Alright","1","5","243674","spotify:user:iabouhashish","2019-02-10T19:34:33Z"
"spotify:track:656PPwv1FJ3jWXtVcYvCp4","Greeningless","FIL BO RIVA","If You're Right, It's Alright","1","3","254763","spotify:user:iabouhashish","2019-02-10T19:34:33Z"
"spotify:track:43wtbrVn3ZSN8sz5MLgg4C","Cocoa Hooves - Stripped","Glass Animals","ZABA (Deluxe)","1","15","215458","spotify:user:iabouhashish","2019-02-10T19:34:33Z"
"spotify:track:2VprRdTmbgyjXnDzHIcfNl","Rolling In The Deep - Recorded At Spotify Studios NYC","Greta Van Fleet","Spotify Singles","1","2","237653","spotify:user:iabouhashish","2019-02-10T19:34:33Z"
"spotify:track:15LJonauKXGVmKxPfRAD6T","Brushed Down Kilos","James Quick","Brushed Down Kilos","1","1","186352","spotify:user:iabouhashish","2019-02-10T19:34:33Z"
"spotify:track:5RxARaPC73z4wr6GyLns8P","Night and Day","Keir","Night and Day","1","1","187601","spotify:user:iabouhashish","2019-02-10T19:34:33Z"
"spotify:track:263jAWjIxXBdHuh8xlFMLY","I'm Not Made by Design","Nothing But Thieves","Broken Machine (Deluxe)","1","7","232946","spotify:user:iabouhashish","2019-02-10T19:34:33Z"
"spotify:track:0Kz1564ihrYZNsgE76wDI0","Telescope (feat. K.Flay)","Golden Features, K.Flay","XXIV","1","3","188361","spotify:user:iabouhashish","2019-02-10T19:34:33Z"
