﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3EOWUSrJdGYvTPO4z0GEPe","Boomslang.","MS.","Tracey Was Here","1","2","237952","spotify:user:iabouhashish","2019-02-10T19:33:55Z"
"spotify:track:6xJOhSm4SvZwzy3uhWz26O","The Enemy","Andrew Belle","Black Bear","1","8","286865","spotify:user:iabouhashish","2019-02-10T19:34:07Z"
"spotify:track:3YNJqxG1ktPPZMQUVqdyyU","Sweetest Kill","Broken Social Scene","Forgiveness Rock Record","1","11","309306","spotify:user:iabouhashish","2019-02-10T19:34:08Z"
"spotify:track:78DV0hyfJT5AEoWSLwYLvp","Miss Emeli","General Vibe","Miss Emeli","1","1","218378","spotify:user:iabouhashish","2019-02-10T19:34:11Z"
"spotify:track:6QMH7dmCkU9tnCHNUs8Rs8","Ophelia","George Taylor","Ophelia","1","1","325565","spotify:user:iabouhashish","2019-02-10T19:34:15Z"
"spotify:track:7bX094oS4izFMEGeGlTn2o","Come On","Mikhael Paskalev","What's Life Without Losers","1","4","242680","spotify:user:iabouhashish","2019-02-10T19:35:05Z"
"spotify:track:7rbCL7W893Zonbfnevku5s","I Need My Girl","The National","Trouble Will Find Me","1","10","245240","spotify:user:iabouhashish","2019-02-10T19:35:11Z"
"spotify:track:6ejOqrr7r2LcUDxIqZyygp","I Don't Know","Nick Hakim","Where Will We Go, Pt. 2 (EP)","1","1","299839","spotify:user:iabouhashish","2019-02-10T19:35:21Z"
"spotify:track:78bYrRxc6M1pUHXefJrO3I","Chocolate & Soda","Okta Logue","Chocolate & Soda","1","1","566000","spotify:user:iabouhashish","2019-02-10T19:35:53Z"
"spotify:track:5zzy9xjk8QM8wi7nmJtVMf","The Highs - Alternate Version","Panama","Hope For Something EP (Alternate Versions)","1","2","261773","spotify:user:iabouhashish","2019-02-10T19:35:58Z"
"spotify:track:4ox2odCf0XL0g6692URWwe","But I Do","Poldoore","Street Bangerz Volume 6: Playhouse","1","6","240000","spotify:user:iabouhashish","2019-02-10T19:36:23Z"
"spotify:track:5gqcOwKXxGTth8CUfN8woT","Brave","Riley Pearce","Outside The Lines","1","1","247793","spotify:user:iabouhashish","2019-02-10T19:36:28Z"
"spotify:track:419cNVI2TzuYFlXmp4BNDU","Morning Terrors Nights of Dread","Shilpa Ray","Door Girl","1","2","267371","spotify:user:iabouhashish","2019-02-10T19:36:44Z"
"spotify:track:65fXbdx5DstarNIGI7NRdS","Conrad","SOHN","Rennen","1","2","223095","spotify:user:iabouhashish","2019-02-10T19:36:50Z"
"spotify:track:5uYgX0HGL00xwM70VLNUwk","Tired as Fuck","The Staves","Tired As Fuck / Train Tracks","1","1","216631","spotify:user:iabouhashish","2019-02-10T19:37:00Z"
"spotify:track:2bcYgtxqbQN9OZms5nqXzt","Aurora Borealis","WDL, Chris Cook, Sam","No Wings Airline","1","9","199626","spotify:user:iabouhashish","2019-02-10T19:37:55Z"
