﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:19s1Admrzrx2l1eX8DwIkn","Tidal Wave","Alexander Biggs","Tidal Wave","1","1","226536","spotify:user:iabouhashish","2019-01-26T19:34:41Z"
"spotify:track:21KxOnlezKeCP0oW4NNHvg","In Time","Talos","In Time","1","1","275342","spotify:user:iabouhashish","2019-01-26T19:34:41Z"
"spotify:track:4vLm1Rc3P066ZmtW1Tmdxq","Country of Mine","Beranger","Country of Mine","1","1","352000","spotify:user:iabouhashish","2019-01-26T19:34:41Z"
"spotify:track:61JN05stE1xbNk9cCPJCoS","Joshua","Dizzy","Joshua","1","1","211826","spotify:user:iabouhashish","2019-01-26T19:34:41Z"
"spotify:track:5eU8JXd8hFpxs2MvBoL8cB","Don't Need U","Astronomyy","Rest in Paradise","1","3","335000","spotify:user:iabouhashish","2019-01-26T19:34:41Z"
"spotify:track:1zUbVMC5kGznDqGDZq1MQa","This Is Us Colliding","Talos","This Is Us Colliding","1","1","234400","spotify:user:iabouhashish","2019-01-26T19:34:41Z"
"spotify:track:7HBCiOyKTyWTZKvbsejiCv","Going to the Sun","Bjéar","Going to the Sun","1","1","224000","spotify:user:iabouhashish","2019-01-26T19:34:41Z"
"spotify:track:3wBRiOgNkY97ysxkdD4HhU","Slow Mover","Angie McMahon","Slow Mover","1","1","190093","spotify:user:iabouhashish","2019-01-26T19:34:41Z"
"spotify:track:7e18GGHvyH37UEIfAzVTOh","Into the Wild","Albert Gold","Into the Wild","1","1","227658","spotify:user:iabouhashish","2019-01-26T19:34:41Z"
"spotify:track:2BIHbe1s7YG8h5JlfftHiR","Rain","Nuit Oceān","Rain","1","1","226552","spotify:user:iabouhashish","2019-01-26T19:34:41Z"
"spotify:track:3ugAaFq0WkUoUzIJ2smtrB","Voices","Spilt Milk Society","Voices","1","1","260435","spotify:user:iabouhashish","2019-01-26T19:34:41Z"
"spotify:track:0xkM5sk5ZBZORqCRhK0ZFb","When My Body Breaks","Kandle, Peter Dreimanis","When My Body Breaks","1","1","224146","spotify:user:iabouhashish","2019-01-26T19:34:41Z"
"spotify:track:0JM7VQMtlwzxB70r3zTkQt","Kissed by the Light","Beranger","The Kissed by the Light EP","1","3","248000","spotify:user:iabouhashish","2019-01-26T19:34:41Z"
"spotify:track:4DmnYo4jdL6tV4g6Nnx9tg","Stars And Moons","Dizzy","Stars And Moons","1","1","273346","spotify:user:iabouhashish","2019-01-26T19:34:41Z"
"spotify:track:2eRPPaLMtKXNnnc2UlJf8K","Collision","Hayden Calnin","Collision","1","1","224156","spotify:user:iabouhashish","2019-01-26T19:34:41Z"
"spotify:track:4xyRXsnmMvgBLvjNhF1ZoQ","I Need Your Love","Albin Lee Meldau","I Need Your Love","1","1","207280","spotify:user:iabouhashish","2019-01-26T19:34:41Z"
"spotify:track:3nPlqh6fEHYWev31dufdbi","Visible","Hayden Calnin","Dirt","1","3","210580","spotify:user:iabouhashish","2019-01-26T19:34:41Z"
"spotify:track:2cndFpRrqC3BzayuW77z2F","Feel The Energy","Sean Koch","Feel The Energy","1","1","301979","spotify:user:iabouhashish","2019-01-26T19:34:41Z"
"spotify:track:2MrpbWnnAvCrFPyGaosJ8y","Couldn't Tell","Dermot Kennedy","Mike Dean Presents: Dermot Kennedy","1","2","256998","spotify:user:iabouhashish","2019-01-26T19:34:41Z"
"spotify:track:0x4KG7bxABwL5TIhC9k9EN","I Need A Forest Fire","James Blake, Bon Iver","The Colour In Anything","1","11","257219","spotify:user:iabouhashish","2019-01-26T19:34:41Z"
"spotify:track:1it1O0oDJTlrd4Ql003yWb","Undertow","Panama","Hope For Something (Alternate Versions)","1","3","286708","spotify:user:iabouhashish","2019-01-26T19:34:41Z"
"spotify:track:0ePgO3SMLfSFAU5wsyZ1ai","An Evening I Will Not Forget / Furthest Thing","Dermot Kennedy","Mike Dean Presents: Dermot Kennedy","1","3","384811","spotify:user:iabouhashish","2019-01-26T19:34:41Z"
"spotify:track:25LQ1bT3CsVPSJv202QJro","Venus","Nomade Orquestra","Nomade Orquestra","1","6","705752","spotify:user:iabouhashish","2019-01-26T19:34:41Z"
"spotify:track:4QcDhDJkTBRjv4hNXtftcf","Arrows","Haux","Something To Remember","1","6","149573","spotify:user:iabouhashish","2019-01-26T19:34:41Z"
