﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:5lXAPrFPsXS768o314rckz","Anthem - Radio Edit","5K HD","And to in A","1","1","254765","spotify:user:iabouhashish","2019-02-10T19:51:52Z"
"spotify:track:0hOgIGyEvAzfnk7mXfXEeM","Hang","8 Graves","Hang","1","1","215330","spotify:user:iabouhashish","2019-02-10T19:51:58Z"
"spotify:track:3ONhHmhiFGCmWTtbXAMij8","A Painting in Paris","Arrested Youth","A Painting in Paris","1","1","213626","spotify:user:iabouhashish","2019-02-10T19:52:23Z"
"spotify:track:54RTZcfQOUrEQxFM9f0Uu0","Girl Who Cried Wolf","Ashe","Girl Who Cried Wolf","1","1","164635","spotify:user:iabouhashish","2019-02-10T19:52:31Z"
"spotify:track:4pfcHOvZAf9f3dYMPcdfQc","Hi-Lo (Hollow)","Bishop Briggs","Church Of Scars","1","10","251986","spotify:user:iabouhashish","2019-02-10T19:52:54Z"
"spotify:track:5IVF6G0wk3icpfq9UUOmVx","The Basis","Lack Of Afro","My Groove, Your Move","1","8","310466","spotify:user:iabouhashish","2019-02-10T19:53:08Z"
"spotify:track:73zbXQOi4flzQEiZV3XMwq","Remedy (Album version)","MY BABY","Shamanaid","1","6","227453","spotify:user:iabouhashish","2019-02-10T19:53:12Z"
"spotify:track:7L3QPoFSLUtoZpSOh56phQ","Same Old Song (S.O.S. Part 1)","Two Feet","Same Old Song (S.O.S. Part 1)","1","1","150746","spotify:user:iabouhashish","2019-02-10T19:53:20Z"
"spotify:track:747R0IWLZCVaLGYPgRmjJ8","Sowing Season (Yeah)","Brand New","The Devil And God Are Raging Inside Me","1","1","270720","spotify:user:iabouhashish","2019-02-10T19:53:28Z"
"spotify:track:3pWcj8hxj3fsb9TDAcMpEl","Somebody","The Chainsmokers, Drew Love","Sick Boy","1","1","223146","spotify:user:iabouhashish","2019-02-10T19:53:39Z"
"spotify:track:4ZjtE0K2i63H3gXZ3QfGYG","Ride","Clans","Ride","1","1","184516","spotify:user:iabouhashish","2019-02-10T19:53:50Z"
"spotify:track:7hzA9lKs4l6kIoCQAnRRJc","Bring A Friend","DCF","Bring A Friend","1","1","181755","spotify:user:iabouhashish","2019-02-10T19:53:54Z"
"spotify:track:5qmnjlO9hyJpHdjcIXD2aB","Japanese Ceremonial Tea (Interlude)","The Electric Sons","Golden Age - EP","1","5","173600","spotify:user:iabouhashish","2019-02-10T19:54:11Z"
"spotify:track:6HJcuxVgYjxcYDnPG0ystc","Hunger","Florence + The Machine","Hunger","1","1","214666","spotify:user:iabouhashish","2019-02-10T19:54:18Z"
"spotify:track:5f8voEjOep8VbMV4Ak2tmd","Grey Morning","FOXTRAX","Grey Morning","1","1","189140","spotify:user:iabouhashish","2019-02-10T19:54:26Z"
"spotify:track:7ruOQuAqMlon9gIJr5iUDU","Nobody Knows","Gabe Fleck","Bliss","1","5","291529","spotify:user:iabouhashish","2019-02-10T19:54:36Z"
"spotify:track:6UVtKJ0vcvEbadZe4cR8z0","Colder Shoulders","Gabe Fleck","Colder Shoulders","1","1","218500","spotify:user:iabouhashish","2019-02-10T19:54:36Z"
"spotify:track:3SJv9Gmnq6VXM9xNITfIw1","Live This Nightmare - NGHTMRE Remix","The Griswolds, NGHTMRE","Live This Nightmare (NGHTMRE Remix)","1","1","222857","spotify:user:iabouhashish","2019-02-10T19:54:40Z"
"spotify:track:22Py49XpLEOcu9zc1mEA78","Stoned","Heymoonshaker","Noir","1","8","250868","spotify:user:iabouhashish","2019-02-10T19:55:07Z"
"spotify:track:1bI9jePC8sxwC8wGtCDCqR","Taking Me Higher","ILLENIUM","Awake","1","10","164888","spotify:user:iabouhashish","2019-02-10T19:55:17Z"
"spotify:track:3bRePoSnS251w05aYvlYtN","No Complaints,","J. Hutton","No Complaints,","1","1","223880","spotify:user:iabouhashish","2019-02-10T19:55:24Z"
"spotify:track:5WsthLL2iAGztBpcWcXHVh","Going To Mars","Judah & the Lion","Folk Hop N' Roll (Deluxe)","1","4","228916","spotify:user:iabouhashish","2019-02-10T19:55:32Z"
"spotify:track:4xC8NtEBSxHhmwTop60bai","Sadboy","Keir","Sadboy","1","1","206465","spotify:user:iabouhashish","2019-02-10T19:55:36Z"
"spotify:track:4H1qrQL0IYmstu5Wcr8nl3","Chase Your Bliss","Mammals","Chase Your Bliss","1","1","252184","spotify:user:iabouhashish","2019-02-10T19:55:42Z"
"spotify:track:55xmHnKmnPdK393QsnQu4Q","Wait! You'll Find a Better Way","Mike Doughty","The Heart Watches While the Brain Burns","1","1","191579","spotify:user:iabouhashish","2019-02-10T19:55:46Z"
"spotify:track:0eDkIUp0Gcr9MsRR2LLPC4","Heat","Night Cap","Heat","1","1","203125","spotify:user:iabouhashish","2019-02-10T19:55:54Z"
"spotify:track:5I7IkJ12RLAQa5sDWyjekS","Any Given Weekend","Northeast Party House","Any Given Weekend","1","6","241397","spotify:user:iabouhashish","2019-02-10T19:56:06Z"
"spotify:track:6HncWNdmiVbxk1irqHfm3t","Pascal Cavalier","Northeast Party House","Pascal Cavalier","1","1","232485","spotify:user:iabouhashish","2019-02-10T19:56:10Z"
