Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
spotify:track:5iHsdL5JjwpvezQ7kVOZQ1,Ocean - Mahogany Sessions,Alice Phoebe Lou,Ocean (Mahogany Sessions),1,1,175636,spotify:user:iabouhashish,2019-01-26T19:34:06Z
spotify:track:4zztr9PszmRe1pYbJNj8kl,White Flag - Boehm Remix,Bishop Briggs, Boehm,White Flag (Boehm Remix),1,1,199124,spotify:user:iabouhashish,2019-01-26T19:34:06Z
spotify:track:0pmHBrhcPIosPihYzGvXRQ,Bedford Falls,ford.,Bedford Falls,1,1,203294,spotify:user:iabouhashish,2019-01-26T19:34:06Z
spotify:track:4rLy66Cwo3ARpe04eM2OXT,Bright Lies,Giant Rooks,New Estate,1,2,276858,spotify:user:iabouhashish,2019-01-26T19:34:06Z
spotify:track:0nornO3qOZgu80UdC3Qs8h,That Message,Holy Holy,Paint,1,1,213995,spotify:user:iabouhashish,2019-01-26T19:34:06Z
spotify:track:1XUWDkiiipRz5ORL7mPFw2,Heartbreak Summer,RAC, K.Flay,EGO,1,11,232013,spotify:user:iabouhashish,2019-01-26T19:34:06Z
spotify:track:6zvbty1Vv0uR5Zajlx43gk,West Coast,MISSIO,West Coast,1,1,251872,spotify:user:iabouhashish,2019-01-26T19:34:06Z
spotify:track:3WtB2who5tPeyzpe2rAoPk,17,Youth Lagoon,The Year Of Hibernation,1,4,236000,spotify:user:iabouhashish,2019-01-26T19:34:06Z
spotify:track:7iMXB43VlKivFA2OACh3Kz,Bad Love,RY X,Bad Love,1,1,238005,spotify:user:iabouhashish,2019-01-26T19:34:06Z
spotify:track:1XJFmxQTm4cOQrXEhArm6Q,Boris,Lo-Fang,Blue Film,1,2,217840,spotify:user:iabouhashish,2019-01-26T19:34:06Z
spotify:track:4OkQT2kCWDyG10o25SO2ig,Howl,Banner.,Howl,1,1,319824,spotify:user:iabouhashish,2019-01-26T19:34:06Z
spotify:track:7dKn4KglGSLwHZHiu3bEtQ,Stranger In A Room,Sara Hartman,Satellite,1,3,194802,spotify:user:iabouhashish,2019-01-26T19:34:06Z
spotify:track:0QQIhT6PtJ5glyn4HKNKQ6,All The Pretty Girls,KALEO,A/B,1,6,269893,spotify:user:iabouhashish,2019-01-26T19:34:06Z
spotify:track:4VTO4g2C9uTI6omVI7pjlq,Swim,Mating Ritual,How You Gonna Stop It?,1,11,313106,spotify:user:iabouhashish,2019-01-26T19:34:06Z
spotify:track:574uSIfe7tTBLCFjN38vij,Homegrown,Haux,All We've Known,1,1,242333,spotify:user:iabouhashish,2019-01-26T19:34:06Z
spotify:track:3evCg9wSnMohARE0SeVAvn,At All,The Tapes,At All,1,1,184000,spotify:user:iabouhashish,2019-01-26T19:34:06Z
spotify:track:0SUdzNOCx48qEV8f0xViwm,I Get It Now,Fjord,Textures,1,1,207960,spotify:user:iabouhashish,2019-01-26T19:34:06Z
spotify:track:3m3RJOdwlsvaBRxA19aiD5,I Don't Care,Obseen,I Don't Care,1,1,167687,spotify:user:iabouhashish,2019-01-26T19:34:06Z
spotify:track:1z4OnhqV4ad4FEcAwV21Fy,Hotel,Kita Alexander,Hotel - EP,1,1,227557,spotify:user:iabouhashish,2019-01-26T19:34:06Z
