﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3T0ot81KLOo3TkLdvxOvbQ","medicine","VÉRITÉ","new skin","1","8","234346","spotify:user:iabouhashish","2019-11-01T15:46:28Z"
"spotify:track:73byreaFDbawNRvqbgvZPe","Back To Berlin","Alice Merton","MINT +4","1","15","262372","spotify:user:iabouhashish","2019-11-02T17:50:37Z"
"spotify:track:5mJ7FltFvKNE08MHBK9pjl","Cold (feat. Léa Paci)","James Blunt, Léa Paci","Cold (feat. Léa Paci)","1","1","208073","spotify:user:iabouhashish","2019-11-05T20:23:22Z"
"spotify:track:0i9yMxNLkNn4ELbm52Y8Kp","Holding Out for You","Whilk & Misky","Blood Moon","1","4","215293","spotify:user:iabouhashish","2019-11-05T20:42:04Z"
"spotify:track:14nNbDF74CHIywG3QP1UnE","Fairytales","Avi Snow, IRO","Fairytales","1","1","234609","spotify:user:iabouhashish","2019-11-12T15:41:32Z"
"spotify:track:0rom1tXCjZnLz9ubE0nviP","Merciless","Collard","Unholy","1","7","206946","spotify:user:iabouhashish","2019-11-12T18:00:11Z"
"spotify:track:57X2jAov78d6K39SOWJqaJ","Put Your Hands Up","Forest Blakk","Put Your Hands Up (Acoustic)","1","2","190821","spotify:user:iabouhashish","2019-11-13T15:31:32Z"
"spotify:track:0fW8cSLRHCCfa52jV1ATdT","Seattle Waltz","Benjamin Francis Leftwich","Elephant","1","4","206949","spotify:user:iabouhashish","2019-11-14T00:15:23Z"
"spotify:track:1ygRcoteXdmkYyboFS21jh","Snowman","Isak Danielson","Snowman","1","1","168000","spotify:user:iabouhashish","2019-11-14T00:17:50Z"
"spotify:track:2i21WLaFylineqnemmhFc1","Notions","Hollow Coves","Moments","1","10","360040","spotify:user:iabouhashish","2019-11-14T15:25:08Z"
"spotify:track:6NuUuqfbopE4l2St02hCfq","Y","Winter Woods","Rosewood","1","9","208760","spotify:user:iabouhashish","2019-11-16T20:54:42Z"
"spotify:track:3ZCTVFBt2Brf31RLEnCkWJ","everything i wanted","Billie Eilish","everything i wanted","1","1","245425","spotify:user:iabouhashish","2019-11-18T05:20:29Z"
"spotify:track:1y3zTBZlL87FD5TSD7oxLW","Red Lion","Sorcha Richardson","First Prize Bravery","1","5","246733","spotify:user:iabouhashish","2019-11-18T15:57:25Z"
"spotify:track:4Ttwj1T7iUuM8DUWUBU9hM","Undo","Lily Moore, Dan Caplen","Nothing On You (Piano Version)","1","2","226573","spotify:user:iabouhashish","2019-11-19T00:33:21Z"
"spotify:track:6WMf0Om41Z6HlMzXFuZ4F0","Everyday Life","Coldplay","Everyday Life","1","1","258533","spotify:user:iabouhashish","2019-11-19T01:05:30Z"
"spotify:track:6j77u0sqUdzGxOzfLpohTz","Lately","Celeste, Gotts Street Park","Lately - EP","1","2","251885","spotify:user:iabouhashish","2019-11-20T18:55:15Z"
"spotify:track:1wzOaJ3ICS87UuHjk4iSqb","Ridin' Solo","SAINT WKND, Malou, Clouds","Ridin' Solo","1","1","193333","spotify:user:iabouhashish","2019-11-21T18:01:27Z"
"spotify:track:0U9poBgDSkMtA6ypGOD0G6","January","Millie Turner","Hide+Seek","1","1","186899","spotify:user:iabouhashish","2019-11-21T18:01:31Z"
"spotify:track:0GmHBGjVvU2OAgezCpOYIM","On My Mind","WizTheMc, Wolfskind, Bayuk","On My Mind","1","1","172602","spotify:user:iabouhashish","2019-11-21T18:53:40Z"
"spotify:track:1e4WHGan08KzGkLUSbTHMJ","R U O.K.?","Fleurie","Portals: The B-Sides","1","4","355146","spotify:user:iabouhashish","2019-11-23T15:46:43Z"
