﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3KiXpTRRGnznh1v8FVXs4z","Freakstreet","Highly Suspect","MCID","1","3","229512","spotify:user:iabouhashish","2019-11-02T01:57:30Z"
"spotify:track:5ndU2zzoqMiRCkF9iS9YRd","SOMEONE ELSE","Bishop Briggs","SOMEONE ELSE","1","1","211440","spotify:user:iabouhashish","2019-11-05T19:26:57Z"
"spotify:track:5K7x78NAL50rhfhm73ePNb","Now I'm In It","HAIM","Now I'm In It","1","1","204280","spotify:user:iabouhashish","2019-11-05T20:35:17Z"
"spotify:track:1oByTG5Ogddf9vK0SBwXUu","MAD MOUNTAIN THYME","MY BABY","MAD MOUNTAIN THYME","1","1","361391","spotify:user:iabouhashish","2019-11-07T17:01:23Z"
"spotify:track:764CrwUhnZO7zeTI8oG3Cg","Perfect Man","Max Frost","Perfect Man","1","1","187196","spotify:user:iabouhashish","2019-11-07T17:05:33Z"
"spotify:track:6AN9dQmAifPSQlDRBsq4kf","White Rabbit","Bolier, Tiggi Hawke","White Rabbit","1","1","184800","spotify:user:iabouhashish","2019-11-07T17:22:08Z"
"spotify:track:6VlCVPEdRRqDW21XeGudvw","the end","MisterWives","the end…whywhywhy","1","1","194893","spotify:user:iabouhashish","2019-11-07T17:28:14Z"
"spotify:track:7pWK1kMgHy5lNNiIfuRbkP","Used To Love (with Dean Lewis)","Martin Garrix, Dean Lewis","Used To Love (with Dean Lewis)","1","1","236764","spotify:user:iabouhashish","2019-11-07T17:33:42Z"
"spotify:track:2HqNN7sGfCjryWrGqDysMl","Alaska","Antoine Malye","Alaska","1","1","250760","spotify:user:iabouhashish","2019-11-07T21:17:45Z"
"spotify:track:5AgxZKgNfB6wqnNg3puk3X","BBY","Two Feet","BBY","1","1","162266","spotify:user:iabouhashish","2019-11-08T13:53:16Z"
"spotify:track:3H2XWknrzSJvDAQuu8WaLf","Be Myself","Tom Walker","What a Time To Be Alive (Deluxe Edition)","1","18","241581","spotify:user:iabouhashish","2019-11-09T00:09:09Z"
"spotify:track:13YzFPvvqXUSsCN18nQo97","Someday Sundays","James Gillespie","Safe.","1","10","174053","spotify:user:iabouhashish","2019-11-09T21:46:37Z"
"spotify:track:60uvwO8ddPwxBPuETEoYxs","What Do You Need?","S+C+A+R+R","White Lies / What Do You Need?","1","2","330346","spotify:user:iabouhashish","2019-11-12T15:46:20Z"
"spotify:track:6oqGKn2FBecymXQB3Sifen","Straight from Steel","The Maag, Brisa Roche","Straight from Steel","1","1","168409","spotify:user:iabouhashish","2019-11-12T16:06:07Z"
"spotify:track:0XKWnlCj7RrkCWvSDZzgIl","Colours","Thunder Jackson","Colours","1","1","180519","spotify:user:iabouhashish","2019-11-12T16:49:29Z"
