﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:3n2fRYNaGoDygheFYRJlNM","Half-Tongue","All Them Witches","ATW","1","4","275200","spotify:user:iabouhashish","2019-02-10T20:22:38Z"
"spotify:track:1nUqrf8MMTeEhPQQpXHS11","Alien","Airways","Alien","1","1","194906","spotify:user:iabouhashish","2019-02-10T20:22:39Z"
"spotify:track:5hF33GZ7ZdJRYZLyl4BBio","May Your Eyes Cry (Bonus Track) - Jimi Hendrix Version","Andrew Applepie, Bjurman","Andrew Applepie & Bjurman EP","1","6","114606","spotify:user:iabouhashish","2019-02-10T20:22:50Z"
"spotify:track:6e8Wi2tX3RUZZlJaOZZ8ro","Ready Now","The Cat Empire","Ready Now","1","1","193238","spotify:user:iabouhashish","2019-02-10T20:22:57Z"
"spotify:track:37TIRRSKO9kRe0UdlKKHla","Loosen It","Demob Happy","Holy Doom","1","3","214746","spotify:user:iabouhashish","2019-02-10T20:23:04Z"
"spotify:track:5pYgoJ1h2vCiYEBWdYwzJ2","Fire Away","Dirty Honey","Fire Away","1","1","285288","spotify:user:iabouhashish","2019-02-10T20:23:08Z"
"spotify:track:2Euqlmr7oJUvlgajdUTu4o","Beatnik Trip","Gin Wigmore","Ivory","1","3","164213","spotify:user:iabouhashish","2019-02-10T20:23:15Z"
"spotify:track:7wjsFW5cSAGy2T9fZbJ6be","Lover, Leaver","Greta Van Fleet","Lover, Leaver","1","1","215013","spotify:user:iabouhashish","2019-02-10T20:23:16Z"
"spotify:track:11cNAr4rCM26RWKWaZmq3K","Watching Over","Greta Van Fleet","Watching Over","1","1","267333","spotify:user:iabouhashish","2019-02-10T20:23:18Z"
"spotify:track:60T6dfF5Q7KL2ujEefzoCE","still feel.","half•alive","still feel.","1","1","247437","spotify:user:iabouhashish","2019-02-10T20:23:33Z"
"spotify:track:5khwZheHpBV0kEQJa6Uvmp","Canary","Kae Sun","Whoever Comes Knocking","1","4","269572","spotify:user:iabouhashish","2019-02-10T20:23:35Z"
"spotify:track:1YT8xkroYGNLGR4qhuWLC4","Number 9","Moon Hooch","Moon Hooch","1","1","265946","spotify:user:iabouhashish","2019-02-10T20:23:42Z"
"spotify:track:6fHKAX8qnWDYsqLzLs7hA6","Bitch, Baby.","Pet Fangs","Bitch, Baby.","1","1","215674","spotify:user:iabouhashish","2019-02-10T20:23:47Z"
"spotify:track:0Hpe23Rjqrzqs75w4xyvQf","The Dark","Thrice","The Dark","1","1","229893","spotify:user:iabouhashish","2019-02-10T20:24:10Z"
"spotify:track:0Xc5Y8XLyJ2xglNQOR2kV5","Found What I've Been Looking For - Friction 'Back to 92' Mix","Tom Grennan, Friction","Found What I've Been Looking For (Friction 'Back to 92' Mix)","1","1","185104","spotify:user:iabouhashish","2019-02-10T20:24:16Z"
"spotify:track:0CRmjWYL4YebSS6gMBFSEJ","Ponytail","Wild Beasts","Boy King","1","8","218320","spotify:user:iabouhashish","2019-02-10T20:24:27Z"
"spotify:track:4uj4utePoGkOSAkAIFNAB9","Back Of My Mind","Two Feet","A 20 Something Fuck","1","7","186053","spotify:user:iabouhashish","2019-02-10T20:24:38Z"
