﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:2ZwihAP8zB5XX1CmYIOBbF","Rome","Dermot Kennedy","Without Fear","1","8","202346","spotify:user:iabouhashish","2019-10-04T14:01:48Z"
"spotify:track:3Doq8xlDwB0x4UpGrxrvos","Without Fear","Dermot Kennedy","Without Fear","1","13","319056","spotify:user:iabouhashish","2019-10-04T14:16:26Z"
"spotify:track:25rmjF2ABLEzRFVHgAESVI","Honey","Sorcha Richardson","Honey","1","1","126120","spotify:user:iabouhashish","2019-10-04T16:31:15Z"
"spotify:track:0tdfixEFS7MALXPAZEeb2J","Live With It","LUME","Edge of My Seat","1","3","252190","spotify:user:iabouhashish","2019-10-04T16:39:35Z"
"spotify:track:2qLHrk2onBTZ0yEc9jC3Kx","Wasted Time","Juke Ross","Wasted Time","1","1","194991","spotify:user:iabouhashish","2019-10-04T18:13:16Z"
"spotify:track:1sJlHEVy6682fNZkB5SwMF","Hundred Times - Live Session","Charlie Cunningham","Don't Go Far / Hundred Times (Flesh & Bone Studio Session)","1","2","275293","spotify:user:iabouhashish","2019-10-04T19:37:17Z"
"spotify:track:0voLNflQCD6i7t4L2fZZmw","Selfish Lover","5K HD","High Performer","1","9","217200","spotify:user:iabouhashish","2019-10-09T20:03:40Z"
"spotify:track:5onA0iOyToyWxrZ5WksAGm","Ground","KAYAM","Ground","1","1","262201","spotify:user:iabouhashish","2019-10-10T13:21:54Z"
"spotify:track:480qefaDykyATTF4NGPtFb","Someway Somehow","FARR","Someway Somehow","1","1","212000","spotify:user:iabouhashish","2019-10-10T15:01:10Z"
"spotify:track:35XEfip4wHj4HwLYyPDWT5","untitled","EDEN","untitled","1","1","216250","spotify:user:iabouhashish","2019-10-12T02:47:32Z"
"spotify:track:2noP7cMojl1VKUWCUdckHy","Main Girl (Garage Gigs Live)","Charlotte Cardin","Garage Gigs Live","1","6","203137","spotify:user:iabouhashish","2019-10-18T22:16:41Z"
"spotify:track:12lqWdvYyuauuzTqLu7sju","We Watch The Stars - Single Version","Fink","We Watch The Stars","1","1","249986","spotify:user:iabouhashish","2019-10-20T15:25:45Z"
"spotify:track:64pk1lQHgERU0cZG8cfPSX","Prayer (feat. Nicolette Krebitz, Udo Kier) - Gui Boratto Mix","Terranova, Nicolette Krebitz, Udo Kier","Hotel Amour - Nightporter","1","1","408754","spotify:user:iabouhashish","2019-10-23T23:46:39Z"
"spotify:track:5klsN513aq5UOsG2Z4bGXa","tonight","LIE NING","tonight","1","1","283596","spotify:user:iabouhashish","2019-10-28T20:57:10Z"
"spotify:track:1fxVPOHCkSlkCAXWSYM2t1","Lucky","PYØR","Lucky","1","1","189139","spotify:user:iabouhashish","2019-10-29T13:14:46Z"
"spotify:track:7iUXsocwdrhMwY6JmTd1YD","Love Lost","James Gillespie","Safe.","1","8","214066","spotify:user:iabouhashish","2019-10-29T17:36:03Z"
"spotify:track:0WqiwF2uo0o3FoaVek9kZW","Nervous","Oliver Riot","Nervous","1","1","193470","spotify:user:iabouhashish","2019-10-30T02:26:42Z"
"spotify:track:5cYEl55vmPXhVCOkeNJ6OG","Same Little Thing - Alternative Mix","Weval","The Weight Remixe","1","2","210687","spotify:user:iabouhashish","2019-10-30T03:26:30Z"
"spotify:track:6O15u99IuMo6q8RNEyVFjH","ruby","Ben Khan","Ben Khan","1","4","324026","spotify:user:iabouhashish","2019-10-30T19:52:29Z"
"spotify:track:5pnM1WCHcMKZJTe7eNJugs","Saints and Shadows (feat. Emeli Sandé & Swizz Beatz)","Godfather of Harlem, Emeli Sandé, Swizz Beatz","Saints and Shadows (feat. Emeli Sandé & Swizz Beatz)","1","1","235070","spotify:user:iabouhashish","2019-10-31T19:59:24Z"
"spotify:track:41x0dX22Xj00wtR3kvSp0R","Hallelujah","Oh Wonder","Hallelujah","1","1","191000","spotify:user:iabouhashish","2019-11-14T19:23:49Z"
