﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:4nFrj76afCTXTqGhOFVZjf","Satellite of Love","Afterimage","Strange Confession","1","7","236093","spotify:user:iabouhashish","2019-02-10T20:20:37Z"
"spotify:track:19CIjQnMXx2VptcuTv1CNS","Fistfight","The Ballroom Thieves","Paper Crown","1","4","224546","spotify:user:iabouhashish","2019-02-10T20:20:47Z"
"spotify:track:1fyivLTThGr06QD1xtjPs1","Stranger Things","The Band Royale","Stranger Things","1","1","258854","spotify:user:iabouhashish","2019-02-10T20:20:53Z"
"spotify:track:00y0xiivXZbtB0XFuEeV2o","Be My Fire","The Blue Stones","Be My Fire","1","1","193053","spotify:user:iabouhashish","2019-02-10T20:20:58Z"
"spotify:track:4kWVI98lkmXYsd3KYVRGZI","Bad Machine","Boston Manor","Bad Machine","1","1","188720","spotify:user:iabouhashish","2019-02-10T20:21:05Z"
"spotify:track:1zJza1rWIXviEUTQLVP2Ty","Obstacle 1 - Radio Edit","Interpol","Obstacle 1 (Arthur Baker Remix)","1","3","216466","spotify:user:iabouhashish","2019-02-10T20:21:14Z"
"spotify:track:4DYs87Ykz0A1khI80nYF9F","Instinct","Josh Cashman","Instinct","1","6","284546","spotify:user:iabouhashish","2019-02-10T20:21:27Z"
"spotify:track:5LSSS0Ev6CREr5sO8IK9sc","Strong Enough","Josh Cashman","Strong Enough","1","1","238746","spotify:user:iabouhashish","2019-02-10T20:21:33Z"
"spotify:track:7HaKMoJh7BJC8RvJe1XcFb","Gold Chain","Left Boy","Ferdinand","1","6","186866","spotify:user:iabouhashish","2019-02-10T20:21:39Z"
"spotify:track:0OrKrsgCzqiAWIXIfok0oN","I'm Caving In","Leopold and His Fiction","Darling Destroyer","1","3","176266","spotify:user:iabouhashish","2019-02-10T20:21:48Z"
"spotify:track:1LtUxXo8zpK3Mh7m9zaSfk","Go On Have My Way","Leopold and His Fiction","Leopold and his Fiction","1","5","188200","spotify:user:iabouhashish","2019-02-10T20:21:49Z"
"spotify:track:44DnIGEvTlhDkGv3xLSDcp","Wide Eyes","Local Natives","Gorilla Manor","1","1","266053","spotify:user:iabouhashish","2019-02-10T20:22:02Z"
"spotify:track:1N7SOR6A67pMZ5AfhPnMNM","Hardcore","Reignwolf","Hardcore","1","1","204506","spotify:user:iabouhashish","2019-02-10T20:22:07Z"
"spotify:track:4qi9dIiXxkQidFUulBZWBs","In Need of Medicine","Smash Into Pieces","In Need of Medicine","1","1","219000","spotify:user:iabouhashish","2019-02-10T20:22:16Z"
"spotify:track:2qTy3hGSbxoSenKmlKGHFw","Los Ageless","St. Vincent","MASSEDUCTION","1","5","281346","spotify:user:iabouhashish","2019-02-10T20:22:23Z"
