﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:0KNZKARWDAZLwKLUFsH1GJ","Wish Me Luck","Collarbones, Banoffee","Wish Me Luck","1","1","257078","spotify:user:iabouhashish","2019-08-30T18:31:56Z"
"spotify:track:2nfOUf7bobBZr5E1zGrBt0","Realiti","aeseaes","Realiti","1","1","211986","spotify:user:iabouhashish","2019-08-30T19:07:24Z"
"spotify:track:5gduRkcl2wqKQf2ndUkvKp","Child of the Moon","Whilk & Misky","Child of the Moon","1","1","269329","spotify:user:iabouhashish","2019-08-30T19:47:13Z"
"spotify:track:3TXPMi1iREtQX1Ox4rBdG3","Origins (Acoustic)","Belle Mt","Origins (Acoustic)","1","1","219343","spotify:user:iabouhashish","2019-08-30T20:04:36Z"
"spotify:track:4VGt0PkJTPdH9YrQS1P91V","Calm Down","Mammals","Calm Down","1","1","231114","spotify:user:iabouhashish","2019-08-30T21:40:45Z"
"spotify:track:6zvmZiD4Hf2tnuS0iVWnpt","No Messiah - Stripped Version","Lawrence Taylor","Poor Boy Stripped EP","1","2","195095","spotify:user:iabouhashish","2019-08-30T22:00:34Z"
"spotify:track:2C68yx45MwAIIbiguyFuqu","Waitin' for You","Felivand","Waitin' for You","1","1","228088","spotify:user:iabouhashish","2019-08-31T16:11:21Z"
"spotify:track:6iW5pbOAevzr1h2JfdJYpn","Warm (feat. HAIM)","Charli XCX, HAIM","Warm (feat. HAIM)","1","1","225266","spotify:user:iabouhashish","2019-09-01T14:10:53Z"
"spotify:track:5AQjObpFLpQqAhv8EWLrj3","Real","Booty&theKidd","Real","1","1","255786","spotify:user:iabouhashish","2019-09-02T19:50:38Z"
"spotify:track:0oIRLEqtLXbmOulAmK5quF","Somersault - Radio Eins Acoustic Session","Zero 7, Sia","When It Falls (Special Edition)","1","14","205520","spotify:user:iabouhashish","2019-09-01T15:47:02Z"
"spotify:track:0X3Csp5UBxXNqfnzkngOvN","Bulletproof","FARR","Bulletproof","1","1","211363","spotify:user:iabouhashish","2019-09-02T06:45:27Z"
"spotify:track:1LzboMSBB0TcXEAOzCNwjd","Riptide","Raina Sokolov-Gonzalez","Riptide","1","1","246308","spotify:user:iabouhashish","2019-09-04T15:27:44Z"
"spotify:track:0KrsSxq0ck5QBXYBxN9PNa","Falcon","Raina Sokolov-Gonzalez","Falcon/Images","1","1","212448","spotify:user:iabouhashish","2019-09-04T15:32:50Z"
"spotify:track:213mFbWiSzoDkRcrdcaY0R","In-between","Lily Moore, Maverick Sabre","In-between","1","1","160520","spotify:user:iabouhashish","2019-09-04T15:33:45Z"
"spotify:track:3RIgHHpnFKj5Rni1shokDj","Norman fucking Rockwell","Lana Del Rey","Norman Fucking Rockwell!","1","1","248934","spotify:user:iabouhashish","2019-09-05T15:26:23Z"
"spotify:track:29j2Y1N3vpyvm385G4TFSS","Missing Home","flora cash","Missing Home","1","1","219333","spotify:user:iabouhashish","2019-09-06T16:05:37Z"
"spotify:track:65K0NBdveyAV9kMyVxIt1L","Space","Madi Sipes & The Painted Blue","Privacy","1","4","178639","spotify:user:iabouhashish","2019-09-08T14:57:26Z"
"spotify:track:6UTn9fLE2Aa11EcHHBhpJf","Panama - Edit","HVOB","Panama (Edit)","1","1","292552","spotify:user:iabouhashish","2019-09-11T14:34:32Z"
"spotify:track:5DSi7heBC8eTIFROBvttnp","Season Of The Witch","Lana Del Rey","Season Of The Witch (From The Motion Picture "Scary Stories To Tell In The Dark")","1","1","247147","spotify:user:iabouhashish","2019-09-13T14:54:06Z"
"spotify:track:5XfnnySR5hcUTrpxVmyFLa","Lose Someone","Crooked Colours","Langata","1","10","213923","spotify:user:iabouhashish","2019-09-15T07:39:20Z"
"spotify:track:3GPGckmxcDoWaPWNzSjMli","Backwards Love - Live in Los Angeles","Taska Black, TRACE","Backwards Love","1","2","167000","spotify:user:iabouhashish","2019-09-16T03:05:33Z"
"spotify:track:5tCb3qOA6dJSrOZ3OuVw2Y","Never Enough (feat. Ashe)","craves, Ashe","Never Enough (feat. Ashe)","1","1","198058","spotify:user:iabouhashish","2019-09-16T03:09:31Z"
"spotify:track:7InbW1uQxnPs3pIvh6gGu8","Copenhagen","Jack Vallier","Copenhagen","1","1","181533","spotify:user:iabouhashish","2019-09-18T03:40:47Z"
"spotify:track:2HXEWLYd0Ut03z9zf1hENw","Strawberry Picking","Em Glasser","Strawberry Picking","1","1","184293","spotify:user:iabouhashish","2019-09-18T14:48:26Z"
"spotify:track:0TPI2OKla5SwqlPU2nG4OF","Bunny","Tourist","Bunny","1","1","214851","spotify:user:iabouhashish","2019-09-19T18:23:21Z"
"spotify:track:3q0XTAxyCBzmm3h7j0kVxy","Without You","The Peach Kings","Panique","1","7","305578","spotify:user:iabouhashish","2019-09-20T12:43:05Z"
"spotify:track:7swvsPaGEyoIYSnuMKkT5F","Safe and Sound - Mahogany Sessions","Yoke Lore","Chin Up / Safe and Sound (Mahogany Sessions)","1","2","304938","spotify:user:iabouhashish","2019-09-20T15:10:07Z"
"spotify:track:6F3rirVmAvSqzbymxQZKnp","Lovely - Live","Billy Raffoul","Live In June","1","9","244638","spotify:user:iabouhashish","2019-09-26T13:45:00Z"
"spotify:track:6skOKja17oOdmbi2VJsxD5","Silence","Degree","Silence","1","1","290423","spotify:user:iabouhashish","2019-10-02T10:54:52Z"
