﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:6Z9EcBof2phsRHGQvIem3s","Somebody's Love - Single Version","Passenger","Somebody's Love","1","1","225413","spotify:user:iabouhashish","2019-02-05T02:00:23Z"
"spotify:track:5QzaWDBWol65Vu5tK5qo3I","Reality - Radio Edit","Lost Frequencies, Janieck Devy","Reality","1","1","158474","spotify:user:iabouhashish","2019-02-05T02:00:23Z"
"spotify:track:3YlrH4ydAKkxuej6F4Nnkl","This Girl (Kungs Vs. Cookin' On 3 Burners)","Kungs, Cookin' On 3 Burners","This Girl (Kungs Vs. Cookin' On 3 Burners)","1","1","195561","spotify:user:iabouhashish","2019-02-05T02:00:23Z"
"spotify:track:4KH2V5CGcMeWFI7AciTmbZ","Kids","OneRepublic","Kids","1","1","240146","spotify:user:iabouhashish","2019-02-05T02:00:23Z"
"spotify:track:7BKLCZ1jbUBVqRi2FVlTVw","Closer","The Chainsmokers, Halsey","Closer","1","1","244960","spotify:user:iabouhashish","2019-02-05T02:00:23Z"
"spotify:track:0VhDlpezWuAgOnfOCx2fRv","Spirits","The Strumbellas","Spirits","1","1","203653","spotify:user:iabouhashish","2019-02-05T02:00:23Z"
"spotify:track:4d0m6f46k1bX6ZQtfmg1Uj","Something Wild (feat. Andrew McMahon in the Wilderness)","Lindsey Stirling, Andrew McMahon in the Wilderness","Brave Enough","1","13","224510","spotify:user:iabouhashish","2019-02-05T02:00:23Z"
"spotify:track:7d4gHFKVqJNlUqT8tSothk","Don't Worry (feat. Ray Dalton)","Madcon, Ray Dalton","Don't Worry (feat. Ray Dalton)","1","1","214789","spotify:user:iabouhashish","2019-02-05T02:00:23Z"
"spotify:track:38510fWvtOkrFjg2EDkJtT","Toothbrush","DNCE","SWAAY","1","3","231813","spotify:user:iabouhashish","2019-02-05T02:00:23Z"
"spotify:track:42ftjU4cTN5UTRksyqBKZJ","Cake By The Ocean","DNCE","SWAAY","1","1","218440","spotify:user:iabouhashish","2019-02-05T02:00:23Z"
"spotify:track:1JUfgsFPWjXT3ZzzV77v5u","Hold On - Radio Edit","Moguai, Cheat Codes","Hold On","1","1","178560","spotify:user:iabouhashish","2019-02-05T02:00:23Z"
"spotify:track:5f6RsonTFhC7T6nvXGQPeT","Summer Nights","Tiësto, John Legend","Summer Nights","1","1","190073","spotify:user:iabouhashish","2019-02-05T02:00:23Z"
"spotify:track:2CPqh63wRVscbceKcPxwvv","The Ocean (feat. Shy Martin)","Mike Perry, SHY Martin","The Ocean (feat. Shy Martin)","1","1","183414","spotify:user:iabouhashish","2019-02-05T02:00:23Z"
"spotify:track:6zDs6zI94L761vd0cVScTT","I'm Born To Run","American Authors","What We Live For","1","2","206920","spotify:user:iabouhashish","2019-02-05T02:00:23Z"
"spotify:track:7Ct0Q46k5PkXzYiNE5D2dn","Summer on You","Sam Feldt, Lucas & Steve, Wulf","Summer on You","1","1","160008","spotify:user:iabouhashish","2019-02-05T02:00:23Z"
"spotify:track:1Te8WIfLudxjHTr66BL0JK","Perfect Strangers","Jonas Blue, JP Cooper","Perfect Strangers","1","1","196613","spotify:user:iabouhashish","2019-02-05T02:00:23Z"
"spotify:track:0azC730Exh71aQlOt9Zj3y","This Is What You Came For","Calvin Harris, Rihanna","This Is What You Came For","1","1","222160","spotify:user:iabouhashish","2019-02-05T02:00:23Z"
"spotify:track:78W8wiUIlQ2SnWY9TVowKZ","Back Where I Belong (feat. Avicii)","Otto Knows, Avicii","Back Where I Belong (feat. Avicii)","1","1","174202","spotify:user:iabouhashish","2019-02-05T02:00:23Z"
"spotify:track:7HfHfA6pwSBprgJIGBEEBn","What We Live For","American Authors","What We Live For","1","1","178586","spotify:user:iabouhashish","2019-02-05T02:00:23Z"
"spotify:track:6UcTHiP25meOD9ox8Rspgx","Sing Me to Sleep","Alan Walker","Sing Me to Sleep","1","1","189333","spotify:user:iabouhashish","2019-02-05T02:00:23Z"
"spotify:track:6i0V12jOa3mr6uu4WYhUBr","Heathens","Twenty One Pilots","Heathens","1","1","195920","spotify:user:iabouhashish","2019-02-05T02:00:23Z"
"spotify:track:0yuBwKZJLISISw2jxv0KMu","I Wanna Know","Alesso, Nico & Vinz","I Wanna Know","1","1","240413","spotify:user:iabouhashish","2019-02-05T02:00:23Z"
"spotify:track:0bXpmJyHHYPk6QBFj25bYF","Intro","The xx","xx","1","1","127920","spotify:user:iabouhashish","2019-02-05T02:00:23Z"
"spotify:track:1A6sVuun3GjnRutMi5ORQJ","Klanga","Gostan","Klanga","1","1","228733","spotify:user:iabouhashish","2019-02-05T02:00:23Z"
"spotify:track:3njjYn6f9aOo3bB3rnVU3a","Don't Look Down","Spektrem, Jesse Warren","Don't Look Down","1","1","236239","spotify:user:iabouhashish","2019-02-05T02:00:23Z"
"spotify:track:6Wx88Mv6b9ofjKMKkdwOJd","New Divide","Linkin Park","Transformers: Revenge Of The Fallen The Album","1","1","268613","spotify:user:iabouhashish","2019-02-05T02:00:23Z"
"spotify:track:0CJzVKPtJaeOt76jO3PpbZ","I Lived - Arty Remix","OneRepublic","I Lived (Arty Remix)","1","1","267426","spotify:user:iabouhashish","2019-02-05T02:00:23Z"
"spotify:track:5XnIZ40dD1522jT9MJGAGv","Judgement Day","Stealth","Judgement Day","1","1","230942","spotify:user:iabouhashish","2019-02-05T02:00:23Z"
"spotify:track:7vfWgVGiLgnGbInU5lvSQg","I Took A Pill In Ibiza - Seeb Remix","Mike Posner, Seeb","I Took A Pill In Ibiza (Seeb Remix)","1","1","199226","spotify:user:iabouhashish","2019-02-05T02:00:23Z"
"spotify:track:7HW01sQy5UOxyezzZg98nd","The Days","Avicii","The Days / Nights","1","1","278480","spotify:user:iabouhashish","2019-02-05T02:00:23Z"
"spotify:track:2OpY5KKUvkYAkiY8FEG1Wi","Angel in Blue Jeans","Train","Angel in Blue Jeans","1","1","204466","spotify:user:iabouhashish","2019-02-05T02:00:23Z"
